ID,Title,Authors,Year,Venue,Search_String,Link,v1_decision,v1_reason
SB4IW9O3,Baseline evaluation of llm-facilitated ui test-case generation from gherkin specifications,"A Poth, O Rrjolli, H Wang, K Schmid",2025.0,Springer,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://link.springer.com/chapter/10.1007/978-3-032-04288-0_3,INCLUDE,
QU6B84SC,Comprehensive evaluation and insights into the use of large language models in the automation of behavior-driven development acceptance test formulation,"S Karpurapu, S Myneni, U Nettur, LS Gajja",2024.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/10506519/,INCLUDE,
WOC0T7ET,Acceptance test generation with large language models: An industrial case study,"M Ferreira, L Viegas, JP Faria",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11081451/,INCLUDE,
LKNGKMP4,First experiments on automated execution of gherkin test specifications with collaborating llm agents,"S Bergsmann, A Schmidt, S Fischer",2024.0,dl.acm.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://dl.acm.org/doi/abs/10.1145/3678719.3685692,INCLUDE,
10.48550/arXiv.2603.04729,Behaviour Driven Development Scenario Generation with Large Language Models,"A Rathnayake, M Shahin, G Abaei",2026.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2603.04729,INCLUDE,
10.48550/arXiv.2510.18861,Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study,"PL Fonseca, B Lima, JP Faria",2025.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2510.18861,INCLUDE,
SS5Q645I,A Comparative Study of LLMs for Gherkin Generation,"H Fernandes, M Perkusich, D Albuquerque",2025.0,sol.sbc.org.br,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://sol.sbc.org.br/index.php/sbes/article/view/36996,INCLUDE,
N477MKGG,Increasing test coverage by automating bdd tests in proofs of concepts (pocs) using llm,"SRR Santos, RES Fernandes, MCB Santos",2024.0,dl.acm.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://dl.acm.org/doi/abs/10.1145/3701625.3701637,INCLUDE,
Z3Q4ASK9,Comparative analysis of large language model tools for automated test data generation from bdd,"I Mendoza, F Silva Filho, G Medeiros, A Paes",2024.0,sol.sbc.org.br,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://sol.sbc.org.br/index.php/sbes/article/view/30369,INCLUDE,
ORE16MJ7,Automating Behavior-Driven Development with Large Language Models: Exploring Test Case Generation for Fintech projects,N Tesfalidet,2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.diva-portal.org/smash/record.jsf?pid=diva2:2013656,INCLUDE,
