ID,Title,Authors,Year,Venue,Search_String,Link,v1_decision,v1_reason,v2_decision,v2_reason
SB4IW9O3,Baseline evaluation of llm-facilitated ui test-case generation from gherkin specifications,"A Poth, O Rrjolli, H Wang, K Schmid",2025.0,Springer,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://link.springer.com/chapter/10.1007/978-3-032-04288-0_3,INCLUDE,,EXCLUDE,EC2: không tìm được file PDF full-text
QU6B84SC,Comprehensive evaluation and insights into the use of large language models in the automation of behavior-driven development acceptance test formulation,"S Karpurapu, S Myneni, U Nettur, LS Gajja",2024.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/10506519/,INCLUDE,,INCLUDE,
WOC0T7ET,Acceptance test generation with large language models: An industrial case study,"M Ferreira, L Viegas, JP Faria",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11081451/,INCLUDE,,INCLUDE,
LKNGKMP4,First experiments on automated execution of gherkin test specifications with collaborating llm agents,"S Bergsmann, A Schmidt, S Fischer",2024.0,dl.acm.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://dl.acm.org/doi/abs/10.1145/3678719.3685692,INCLUDE,,EXCLUDE,"EC4: automated EXECUTION of Gherkin specs, not generation from user story"
10.48550/arXiv.2603.04729,Behaviour Driven Development Scenario Generation with Large Language Models,"A Rathnayake, M Shahin, G Abaei",2026.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2603.04729,INCLUDE,,INCLUDE,
10.48550/arXiv.2510.18861,Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study,"PL Fonseca, B Lima, JP Faria",2025.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2510.18861,INCLUDE,,INCLUDE,
SS5Q645I,A Comparative Study of LLMs for Gherkin Generation,"H Fernandes, M Perkusich, D Albuquerque",2025.0,sol.sbc.org.br,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://sol.sbc.org.br/index.php/sbes/article/view/36996,INCLUDE,,INCLUDE,
N477MKGG,Increasing test coverage by automating bdd tests in proofs of concepts (pocs) using llm,"SRR Santos, RES Fernandes, MCB Santos",2024.0,dl.acm.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://dl.acm.org/doi/abs/10.1145/3701625.3701637,INCLUDE,,INCLUDE,
Z3Q4ASK9,Comparative analysis of large language model tools for automated test data generation from bdd,"I Mendoza, F Silva Filho, G Medeiros, A Paes",2024.0,sol.sbc.org.br,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://sol.sbc.org.br/index.php/sbes/article/view/30369,INCLUDE,,INCLUDE,
ORE16MJ7,Automating Behavior-Driven Development with Large Language Models: Exploring Test Case Generation for Fintech projects,N Tesfalidet,2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.diva-portal.org/smash/record.jsf?pid=diva2:2013656,INCLUDE,,EXCLUDE,"EC5: Master thesis, không peer-reviewed, thiếu số liệu định lượng"
2B1BDXVP,Automated Test Generation Using LLM Based on BDD: A Comparative Study,"SRR dos Santos, LFC dos Santos, MVS Silva",,scitepress.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.scitepress.org/Papers/2025/136836/136836.pdf,INCLUDE,,INCLUDE,
DKYZ6WW3,Agentic AI for Behavior-Driven Development Testing Using Large Language Models.,"C Paduraru, M Zavelca, A Stefanescu",2025.0,researchgate.net,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.researchgate.net/profile/Ciprian-Paduraru/publication/389451796_Agentic_AI_for_Behavior-Driven_Development_Testing_Using_Large_Language_Models/links/68610f6a92697d42903bc3bf/Agentic-AI-for-Behavior-Driven-Development-Testing-Using-Large-Language-Models.pdf,INCLUDE,,INCLUDE,
WO2V9EKU,Reverse-Engineering and Automating BDD for Modern Software Development with LLMs,"SB Patel, S Nigam, S Mahale",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11351772/,INCLUDE,,EXCLUDE,EC2: không tìm được file PDF full-text
U8AOM2HY,The Role of Machine Learning and Large Language Models in Software Testing and Validation,"Y Hachaïchi, MA Ouerghi",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11364940/,UNSURE,Unclear if focused on Gherkin/BDD generation - needs full text,EXCLUDE,"EC4: general ML+LLM in testing survey/review, not Gherkin generation"
J8RMZF7E,Comparison of Methods for Automated BDD Scenario Generation with NLP and AI,"LI Matveeva, V Kunštár, K Jelemenská",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11277590/,INCLUDE,,EXCLUDE,EC2: không tìm được file PDF full-text
SN46M5PY,AUGMENTING SOFTWARE TESTING AND AUTOMATION THROUGH BEHAVIOR-DRIVEN DEVELOPMENT (BDD) AND ARTIFICIAL INTELLIGENCE,K Dhir,,researchgate.net,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.researchgate.net/profile/Kunal-Dhir-3/publication/398301951_AUGMENTING_SOFTWARE_TESTING_AND_AUTOMATION_THROUGH_BEHAVIOR-DRIVEN_DEVELOPMENT_BDD_AND_ARTIFICIAL_INTELLIGENCE/links/69308c5b06a9ab54f8439bf2/AUGMENTING-SOFTWARE-TESTING-AND-AUTOMATION-THROUGH-BEHAVIOR-DRIVEN-DEVELOPMENT-BDD-AND-ARTIFICIAL-INTELLIGENCE.pdf,UNSURE,Unclear if peer-reviewed with experimental results,EXCLUDE,EC2: no peer-reviewed PDF found; ResearchGate source unconfirmed venue
