"id","title","authors","year","venue","search_strings","doi","abstract","keywords","citations"
"1","ATDLLMD: a test-driven framework for safe, reliable, and business-centric LLM development","V. R. Parupally","2026","International Conference on Advancing Technology in Engineering and Science (ICATES 2025)","S2+S3","10.1049/icp.2025.4778","Rapid progress in the field of large language models (LLMs) has enabled a path to a wide array of innovative applications, but this progress has created new challenges, such as reliability, safety, and alignment with evolving business needs. So we introduce ATDLLMD, an Acceptance Test-Driven LLM Development framework that integrates agile best practices, data-centric methods, and safety engineering into the LLM development process. Addition of an iterative and user-centric feedback loop to traditional acceptance test-driven development (ATDD) enables ATDLLMD to continuously refine both the model and its surrounding systems. Central to our approach are two innovations: the adaptation of the Cognitive Process Management for AI (CPMAI) framework to drive agile, test-first development, and the introduction of LM-Eval—a bespoke evaluation tool that enables business-centric and safety-aware testing. Applied to the MediVoice use-case—a phone bot that autonomously manages patient services—our methodology demonstrates how iterative red-train-green cycles can enhance model performance, build user trust, and ensure adherence to safety specifications via the Guaranteed Safe AI framework. Results from this approach illustrate that ATDLLMD not only streamlines LLM development but also provides a robust roadmap for deploying LLM-based applications in safety-critical environments.","",""
"2","Automated Software Test Case Generation Using Directional Partially Weighted Ensemble Large Language Models With Retrieval-Augmented Generation (RAG)","W. Sisomboon; J. Kaewyotha; W. Songpan","2026","IEEE Access","S2+S3","10.1109/ACCESS.2026.3667925","Ensuring software quality relies on testing practices that can reliably confirm whether delivered systems meet user requirements. While Acceptance Test-Driven Development (ATDD) encourages early collaboration between stakeholders and developers, creating comprehensive acceptance test cases remains a human task that heavily depends on domain expertise. Recent progress in Large Language Models (LLMs) has made automated test case generation feasible. However, approaches based on a single model often suffer from performance instability, uneven test coverage, and a limited ability to generalize across heterogeneous requirements. This study proposes an automated test case generation framework that combines directional partially weighted ensemble large language models (LLMs) with Retrieval-Augmented Generation (RAG). The framework assigns model influence dynamically according to directional performance trends and degrees of partial correctness and consolidates candidate outputs through a weighted majority-voting mechanism and cross-validation conducted over multiple folds. Five state-of-the-art LLMs, Claude, ChatGPT, Gemini, Qwen, and Mistral, were evaluated using 16 criteria derived from four widely adopted closed box testing techniques: Boundary Value Analysis, Equivalence Partitioning, Use Case testing, and State Transition testing. Under the evaluated experimental conditions, the proposed framework achieved 98.44% test coverage, indicating complete consistency with the defined gold-standard acceptance criteria. Cross-validation results further demonstrate improved robustness, stronger generalization to previously unseen requirements, and linear scalability, supporting practical deployment in real-world software development environments, and complexity analysis to confirm linear throughout growth (O(n)), which supports efficient deployment under increasing workloads.","LLM;RAG;weighted ensemble;directional partially;test coverage;ATDD;automated software testing",""
"3","Echoes of Beauty: Machine Learning for Early BDD Preventative Strategy","S. Rahini; R. Ananya; S. Athuzhai; M. Sreemukhi","2026","2026 4th International Conference on Artificial Intelligence and Machine Learning Applications Theme: Healthcare and Internet of Things (AIMLA)","S3","10.1109/AIMLA67915.2026.11522492","Individuals with Body Dysmorphic Disorder (BDD) have a mental health disorder related to an exaggerated dissatisfaction about imperfections in one's physical body. Estimates suggest that BDD affects 0.7 of the general population, who may have difficulty functioning in society due to their condition. Previous research has demonstrated that individuals with BDD are highly active on social media, including user-generated content sites, such as YouTube. In mental health research, the social media platforms have been widely used, and the data sources have been explored, but the use of YouTube comments in understanding BDD remains untouched. So this study's main goal is to analyse YouTube comments to understand better public perception and the experiences of people with BDD. The study described in this article used machine learning to identify individuals with BDD by analysing user comments on YouTube. Transformer-based models were evaluated based on their ability to identify linguistic patterns associated with BDD. The model demonstrated an overall accuracy of 83% in identifying individuals with BDD-related risk factors. In addition, there was a positive correlation between early BDD and the influence of social media. The study also discusses the use of language-based programming methods to develop preventive strategies for BDD.","Body Dysmorphic Disorder;YouTube Comments;Machine Learning;Sentiment Analysis;RoBERTa;Early Risk Identification",""
"4","Efficient Evolution of Variable Ordering for Binary Decision Diagram Optimization","R. Krauss; R. Drechsler","2026","IEEE Transactions on Evolutionary Computation","S3","10.1109/TEVC.2025.3569778","The hardware complexity related to the number of transistors in electronic devices used by today’s society has grown considerably in the last decades because of technological progress. In order to guarantee the correct behavior of such devices and meet time-to-market constraints, there is a need to continuously develop more efficient data structures and algorithms in formal verification. The performance of verification algorithms depends in particular on the compactness of data structures. A reduced ordered binary decision diagram (BDD) is basically a suitable data structure to verify digital circuits, as it represents Boolean functions canonically respecting a variable ordering and allows direct manipulation of them. However, one of the main challenges with BDDs is to find a variable ordering so that the BDD size of a function is compact and does not become impractical due to a dramatically increasing number of BDD nodes. To address the aforementioned issue, this article presents a novel evolution strategy having an efficient evaluation of variable ordering in a divide-and-conquer manner for BDD optimization. Experiments on benchmarks of multilevel circuits show that using this strategy results in considerably smaller BDDs being found significantly faster compared to state-of-the-art optimization techniques.","Binary decision diagrams (BDDs);clustering;evolution strategies;evolutionary algorithms;formal verification","1.0"
"5","Revisiting Out-of-Distribution Detection in Real-Time Object Detection: From Benchmark Pitfalls to a New Mitigation Paradigm","C. Wu; W. He; C. -H. Cheng; X. Huang; S. Bensalem","2026","IEEE Transactions on Pattern Analysis and Machine Intelligence","S3","10.1109/TPAMI.2025.3650695","Out-of-distribution (OoD) inputs pose a persistent challenge to deep learning models, often triggering overconfident predictions on non-target objects. While prior work has primarily focused on refining scoring functions and adjusting test-time thresholds, such algorithmic improvements offer only incremental gains. We argue that a rethinking of the entire development lifecycle is needed to mitigate these risks effectively. This work addresses two overlooked dimensions of OoD detection in object detection. First, we reveal fundamental flaws in widely used evaluation benchmarks: contrary to their design intent, up to 13% of objects in the OoD test sets actually belong to in-distribution classes, and vice versa. These quality issues severely distort the reported performance of existing methods and contribute to their high false positive rates. Second, we introduce a novel training-time mitigation paradigm that operates independently of external OoD detectors. Instead of relying solely on post-hoc scoring, we fine-tune the detector using a carefully synthesized OoD dataset that semantically resembles in-distribution objects. This process shapes a defensive decision boundary by suppressing objectness on OoD objects, leading to a 91% reduction in hallucination error of a YOLO model on BDD-100 K. Our methodology generalizes across detection paradigms such as YOLO, Faster R-CNN, and RT-DETR, and supports few-shot adaptation. Together, these contributions offer a principled and effective way to reduce OoD-induced hallucination in object detectors.","Object detection;out-of-distribution detection;benchmark calibration;new mitigation strategy;ojectness-guided fine-tuning;YOLOs;Faster-RCNN;RT-DETR",""
"6","SALUS: Large-Scale Homomorphic Circuit Synthesis via Logic-Aware LUT Optimization","R. Mao; Z. Zhang; Z. Zhao; Z. Guan; P. Yin; S. Bian","2026","IEEE Transactions on Information Forensics and Security","S3","10.1109/TIFS.2026.3657090","Recently, growing interests are developed in optimizing fully homomorphic encryption (FHE) circuits to enable Boolean function evaluations over ciphertexts. While existing works utilize functional bootstrapping (FBS) to efficiently evaluate logic gates, the evaluation efficiency for large-scale circuits remains limited. Recent advances introduce a fast ciphertext conversion method, making it feasible to evaluate look-up tables (LUTs) over homomorphic multiplexer operation. In this work, we propose a new circuit synthesis framework, SALUS, which automatically generates and evaluates gate-level graphs over homomorphic LUTs given an input Boolean circuit. We apply the binary decision diagram (BDD) reordering method and multi-value refresh techniques to efficiently evaluate complex LUTs. Additionally, we propose a heuristic algorithm to merge LUTs in a given circuit into multi-output LUTs. In the experiments, we examine the efficiency of SALUS using a wide range of benchmark suites, including the EPFL and ISCAS benchmark circuits. We show that SALUS achieves a maximum reduction of up to $26\times $ in computational latency compared to state-of-the-art homomorphic circuit synthesis method. Furthermore, we evaluate real-world applications, e.g., image filtering and matrix multiplication, and achieve an average speedup of $8.6\times $ (with a maximum speedup of $24\times $ ) compared to the FBS-based method.","Fully homomorphic encryption;circuit synthesis;privacy-preserving computation",""
"7","Tie-Breaking in Social Network Search Algorithm for Software Test Redundancy Reduction Optimization Problem","A. M. R. Mekeng; K. Z. Zamli; M. Zarlis; M. A. Mohamad; U. Darusalam","2026","2026 International Seminar on Intelligent Business and Edge-Computing Research (ISIBER)","S3","10.1109/ISIBER68248.2026.11470036","Test Redundancy Reduction (TRR) is an important approach for minimizing the number of test cases while still satisfying all user acceptance test requirements. During the TRR optimization process, situations may arise in which multiple candidate solutions exhibit identical fitness values, leading to ambiguity in solution selection. To address this issue, tie-breaking mechanisms, namely first-element tiebreaking, last-element tie-breaking, and random tie-breaking can be applied, each employing a distinct strategy to resolve equal-fitness solutions. In this study, the Social Network Search (SNS) algorithm is employed to investigate the impact of these tie-breaking mechanisms on TRR optimization performance, motivated by the No Free Lunch (NFL) theorem, which states that no single optimization algorithm performs best across all problems. The experimental evaluation focuses on identifying solutions that achieve full requirement coverage (100%) with the minimum possible number of test cases. Experimental results demonstrate that the SNS algorithm integrated with tie-breaking mechanisms consistently achieves optimal fitness, attaining 100% requirement coverage, and the tie-breaking also effect to runtime.","testing;redundancy reduction algorithm;SNS;Tie Situation;Optimization",""
"8","VIBE Project Management: An Autonomous AI-Driven Framework for Intelligent Agile Project Orchestration","S. Palaniappan; G. Kacheru","2026","2026 IEEE International Conference on Emerging Computing and Intelligent Technologies (ICoECIT)","S3","10.1109/ICoECIT68303.2026.11497335","Traditional agile project management methodologies rely heavily on manual coordination, human intervention, and reactive problem-solving approaches. This paper introduces VIBE (Virtual Intelligence-Based Execution) Project Management, a novel paradigm that leverages artificial intelligence to autonomously orchestrate the complete agile project lifecycle. Drawing inspiration from the emerging concept of 'vibe coding' in software development, VIBE Project Management transforms tickets and user stories from static data artifacts into dynamic entities within an intelligent ecosystem. We present Writlix, a production implementation of this framework, which demonstrates autonomous requirement capture through conversational interfaces, intelligent task assignment based on real-time capacity analysis, proactive escalation management, and adaptive monitoring systems. Our approach reduces manual project management overhead by approximately 60-75%, while maintaining adherence to established agile principles including INVEST criteria and Gherkin-format acceptance criteria. This paper details the architectural foundations, intelligent agent subsystems, and practical deployment considerations of VIBE Project Management, positioning it as a transformative approach for organizations seeking to optimize their agile workflows through intelligent automation.","Artificial Intelligence;Project Management;Agile Methodology;Intelligent Agents;Workflow Automation;Natural Language Processing;Capacity Planning",""
"9","A Cloud–Edge Collaborative Architecture for Multimodal LLM-Based Advanced Driver Assistance Systems in IoT Networks","Y. Hu; D. Ye; J. Kang; M. Wu; R. Yu","2025","IEEE Internet of Things Journal","S2","10.1109/JIOT.2024.3509628","Advanced driver assistance systems (ADASs) enhance driving safety and convenience by providing auxiliary functions. However, traditional rule-based or learning-based ADAS lack the capability for commonsense-based environmental understanding and multisensor data fusion, which leads to limitations in complex dynamic environments. Multimodal large language models (MLLMs) can effectively integrate data from different modalities and possess strong environmental perception and commonsense reasoning abilities, offering more intelligent driver assistance services within Internet of Things (IoT) networks. In this article, we propose a cloud-edge collaborative ADAS based on MLLMs, utilizing IoT networks by deploying a smaller model, CogVLM2, at the edge and a larger model, ChatGPT-4o, in the cloud to achieve collaborative driver assistance services. Specifically, we first reannotate the BDD-X dataset and use it to fine-tune CogVLM2 with LoRA, while applying few-shot learning to ChatGPT-4o to enhance their understanding and decision-making capabilities in traffic scenarios. We then formulate service latency, energy consumption, and Quality-of-Service (QoS) models for the cloud-edge collaborative ADAS in IoT networks, optimizing the combination of these models. Finally, we design an improved DDPG-based task offloading algorithm by introducing a multistep reward mechanism and using a diffusion model to generate noise, aiming to determine the optimal execution location (i.e., cloud, edge, or local) for each task. Experimental results show that both CogVLM2 and ChatGPT-4o can achieve basic ADAS functionality. After fine-tuning and few-shot learning, their task success rates were significantly improved. Moreover, compared to other mainstream deep reinforcement learning-based task offloading algorithms, the improved DDPG task offloading algorithm demonstrates better performance in latency, energy consumption, and QoS within IoT networks.","Advanced driver assistance systems (ADASs);DDPG;diffusion model;edge computing;Internet of Things (IoT) networks;multimodal large language models (MLLMs);task offloading","18.0"
"10","A Diffusion-Model-Based Methodology for Virtual Silicon Data Generation","L. -Y. Chen; M. Kao; S. -H. Chen; C. -H. Yang","2025","IEEE Transactions on Electron Devices","S3","10.1109/TED.2025.3561999","Silicon data allow designers to enhance the chip performance by leveraging machine learning techniques. By gaining a deeper understanding of the distributions of interested features within a wafer, designers can predict chip behaviors more accurately. However, real silicon data may not always be available. This work presents a methodology for generating high-quality synthetic silicon data and verifies its effectiveness through several metrics. Silicon features obtained by chip probing (CP) and wafer acceptance test (WAT) are combined to create more comprehensive data, enabling to conduct design-technology co-optimization (DTCO). Unlike the generative adversarial network (GAN) based methodology used in prior work, this work utilizes a diffusion model to generate synthetic silicon data. The Jensen-Shannon (JS) divergence similarity and Frechet Inception Distance (FID) are used to evaluate the distribution and to quantify the quality of synthetic data, respectively. Experimental results demonstrate that the diffusion model is able to extract the multi-feature silicon data distribution more accurately, with an average JS divergence similarity of 0.987 and an FID of 6.28. This methodology enables to generate a substantial volume of silicon samples for extensive silicon data analysis and DTCO acceleration.","Design-technology co-optimization;machine learning;diffusion model;chip probing;wafer acceptance test",""
