"id","title","authors","year","venue","search_strings","doi","abstract","keywords","citations","v1_decision","v1_reason","v2_decision","v2_reason"
"1","Automated Software Test Case Generation Using Directional Partially Weighted Ensemble Large Language Models With Retrieval-Augmented Generation (RAG)","W. Sisomboon; J. Kaewyotha; W. Songpan","2026","IEEE Access","S2+S3","10.1109/ACCESS.2026.3667925","Ensuring software quality relies on testing practices that can reliably confirm whether delivered systems meet user requirements. While Acceptance Test-Driven Development (ATDD) encourages early collaboration between stakeholders and developers, creating comprehensive acceptance test cases remains a human task that heavily depends on domain expertise. Recent progress in Large Language Models (LLMs) has made automated test case generation feasible. However, approaches based on a single model often suffer from performance instability, uneven test coverage, and a limited ability to generalize across heterogeneous requirements. This study proposes an automated test case generation framework that combines directional partially weighted ensemble large language models (LLMs) with Retrieval-Augmented Generation (RAG). The framework assigns model influence dynamically according to directional performance trends and degrees of partial correctness and consolidates candidate outputs through a weighted majority-voting mechanism and cross-validation conducted over multiple folds. Five state-of-the-art LLMs, Claude, ChatGPT, Gemini, Qwen, and Mistral, were evaluated using 16 criteria derived from four widely adopted closed box testing techniques: Boundary Value Analysis, Equivalence Partitioning, Use Case testing, and State Transition testing. Under the evaluated experimental conditions, the proposed framework achieved 98.44% test coverage, indicating complete consistency with the defined gold-standard acceptance criteria. Cross-validation results further demonstrate improved robustness, stronger generalization to previously unseen requirements, and linear scalability, supporting practical deployment in real-world software development environments, and complexity analysis to confirm linear throughout growth (O(n)), which supports efficient deployment under increasing workloads.","LLM;RAG;weighted ensemble;directional partially;test coverage;ATDD;automated software testing","","Unsure","Cần full-text xác nhận IC-P/IC-E","Include","Đọc full-text, đủ IC-L→IC-E — ensemble LLM sinh acceptance test case (ATDD); liên quan I"
"2","AI driven Test Scenario Generator","A. Chatterjee","2025","2025 5th International Conference on Information Communication and Software Engineering (ICICSE)","S1+S3","10.1109/ICICSE66971.2025.11430054","Modern microservice ecosystems expose rapidly evolving REST APIs and complex interaction patterns that make manual Behavior-Driven Development (BDD) scenario authoring slow and difficult to scale. While Cucumber provides a clear, shared language for specifying behavior, writing and maintaining scenarios and step definitions by hand remains a major bottleneck. This paper presents an AI-driven framework that transforms machine-readable API contracts into executable BDD artifacts. This framework ingests Swagger/OpenAPI specifications, parses endpoints, schemas, and constraints, and applies user-defined rules encoding domain policies, compliance requirements, and negative-path priorities. A synthesis engine then generates standardized scenarios, deduplicates overlapping cases, and ensures consistent phrasing for traceability and reuse. A human-in-the-loop review further enriches test data, tunes edge cases, and finalizes assertions, focusing expert input where it adds the most value.Compared to manual approaches, this framework (i) produces readable, executable BDD scenarios directly from contracts, (ii) integrates rule-driven guidance with specification grounding to target domain-critical paths, and (iii) fits seamlessly into existing Cucumber/JUnit pipelines. Evaluation across internal services shows notable reductions in authoring time, improved negative-path coverage, and stronger alignment between specifications and test suites, enabling scalable, maintainable automation for continuous delivery environments.","BDD Testing;API Testing;Cucumber;Swagger/OpenAPI;AI-driven Test Automation;Test Scenario Generation;Microservice testing","","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Include","Đọc full-text, đủ IC-L→IC-E — LLM sinh BDD scenario + step definitions cho Cucumber; sát I"
"3","Acceptance Test Generation with Large Language Models: An Industrial Case Study","M. Ferreira; L. Viegas; J. P. Faria; B. Lima","2025","2025 IEEE/ACM International Conference on Automation of Software Test (AST)","S2+S3","10.1109/AST66626.2025.00007","Large language model (LLM)-powered assistants are increasingly used for generating program code and unit tests, but their application in acceptance testing remains underexplored. To help address this gap, this paper explores the use of LLMs for generating executable acceptance tests for web applications through a two-step process: (i) generating acceptance test scenarios in natural language (in Gherkin) from user stories, and (ii) converting these scenarios into executable test scripts (in Cypress), knowing the HTML code of the pages under test. This two-step approach supports acceptance test-driven development, enhances tester control, and improves test quality. The two steps were implemented in the AutoUAT and Test Flow tools, respectively, powered by GPT-4 Turbo, and integrated into a partner company’s workflow and evaluated on real-world projects. The users found the acceptance test scenarios generated by AutoUAT helpful 95% of the time, even revealing previously overlooked cases. Regarding Test Flow, 92% of the acceptance test cases generated by Test Flow were considered helpful: 60% were usable as generated, 8% required minor fixes, and 24% needed to be regenerated with additional inputs; the remaining 8% were discarded due to major issues. These results suggest that LLMs can, in fact, help improve the acceptance test process, with appropriate tooling and supervision.","Acceptance Testing;Large Language Models;Automatic Test Generation;Web Application Testing","2.0","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Include","Đọc full-text, đủ IC-L→IC-E — GPT-4 Turbo sinh executable acceptance test cho web app; gần nhất với RQ (nhưng chưa dùng GPT-4o, chưa đo semantic similarity)"
"4","Assessing the Quality of Behavior-Driven Development Scenarios Using BERT","N. Alinezhadtilaki; C. Evans","2025","2025 IEEE 4th International Conference on Computing and Machine Intelligence (ICMI)","S3","10.1109/ICMI65310.2025.11141197","This research investigates the application of BERT (Bidirectional Encoder Representations from Transformers), a state-of-the-art Machine Learning (ML) model for Natural Language Processing (NLP), to improve the quality assessment of Behavior-Driven Development (BDD) scenarios. BDD is a widely used technique in Agile software development, which clarifies feature behavior by defining test scenarios for user stories. While user stories are effective for outlining software requirements, they often lack detailed validation criteria, and the manual evaluation of BDD scenarios can be time-consuming and subjective, leading to inconsistencies, rework, and project delays. To address these challenges, this study explores how BERT can enhance scenario evaluation by leveraging its advanced language understanding capabilities to detect ambiguities and inconsistencies more accurately than traditional methods. Precision, which measures the accuracy of the model's correct predictions, was 70.1 %, indicating how often the model's identified defects were truly defects. Recall, the measure of how many relevant defects the model successfully identified, reached 80.5 %. The F1 score, a balance between precision and recall, was 75.3 %, demonstrating BERT's effectiveness in handling imbalanced data. These results suggest that BERT significantly improves both the objectivity and efficiency of BDD scenario evaluation, offering a valuable tool for enhancing software development processes. This research contributes to the integration of NLP in Agile software development, providing a foundation for future exploration of AI-driven solutions for improving software quality and requirement documentation.","Natural Language Processing;Behavior Driven Development;Machine Learning;Agile;Software Quality;AI Solutions","","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Include","Đọc full-text, đủ IC-L→IC-E — dùng BERT đánh giá chất lượng BDD scenario; nguồn cho phương pháp đo (metric O1)"
"5","Exploratory Study on Private GPTs for LLM-Driven Test Generation in Software and Machine Learning Development","J. Jagielski; C. Rojas; M. Abel","2025","2025 2nd International Generative AI and Computational Language Modelling Conference (GACLM)","S1+S2+S3","10.1109/GACLM67198.2025.11232354","In this contribution, we examine the capability of private GPTs to automatically generate executable test code based on requirements. More specifically, we use acceptance criteria as input, formulated as part of epics, or stories, which are typically used in modern development processes. This gives product owners, or business intelligence, respectively, a way to directly produce testable criteria through the use of LLMs. We explore the quality of the so-produced tests in two ways: i) directly by letting the LLM generate code from requirements, ii) through an intermediate step using Gherkin syntax. As a result, it turns out that the two-step procedure yields better results - where we define better in terms of human readability and best coding practices, i.e. lines of code and use of additional libraries typically used in testing. Concretely, we evaluate prompt effectiveness across two scenarios—a simple 'Hello World' program and a digit classification model—showing that structured prompts lead to higher-quality test outputs.","component;formatting;style;styling;insert","","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Include","Đọc full-text, đủ IC-L→IC-E — GPT sinh executable test từ acceptance criteria (epics/stories); sát P+I"
"6","Reverse-Engineering and Automating BDD for Modern Software Development with LLMs","S. B. Patel; S. Nigam; S. Mahale","2025","2025 IEEE International Conference on Data and Software Engineering (ICoDSE)","S1+S2+S3","10.1109/ICoDSE68111.2025.11351772","Behavior-Driven Development (BDD) frameworks like Cucumber and Behave align business requirements with executable tests but remain costly to author and maintain, especially for legacy or evolving systems [1], [2]. We present a novel LLM-driven approach, leveraging LLaMA to reverse-engineer requirements from schemas, API payloads, and partial tests to automatically generate Gherkin feature files with corresponding step definitions. Generated artifacts are drafted into automated pull requests and merged into the repositories via human review [3]. Our proposed method when tested across two enterprise systems, over six sprints, reduced authoring time by about 75%, expanded negative test coverage by 30%, and achieved cost savings ranging from $7,725 in conservative adoption to over $40,000 in high-volume adoption, maintaining infrastructure overhead costs below 3%. Beyond efficiency gains, the approach lowers barriers for teams new to BDD and demonstrates a practical, cost-effective path for industry adoption while opening avenues for research in adaptive prompting, coverage-aware generation, and retrieval-augmented workflows. [3].","Behavior-Driven Development (BDD);Generative AI;Gherkin;Human-in-the-Loop;Inference;Large Language Models (LLMs);Llama;Natural Language Processing (NLP);Software Testing Frameworks;Test Automation","","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Include","Đọc full-text, đủ IC-L→IC-E — LLaMA sinh BDD; nhưng reverse-engineer từ code, không từ user story"
"7","SelfBehave, Generating a Synthetic Behaviour-Driven Development Dataset using SELF-INSTRUCT","M. Galloy; M. Balfroid; B. Vanderose; X. Devroey","2025","2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","S3","10.1109/ICSTW64639.2025.10962479","While state-of-the-art large language models (LLMs) show great potential for automating various Behavioral-Driven Development (BDD) related tasks, such as test generation, smaller models depend on high-quality data, which are challenging to find in sufficient quantity. To address this challenge, we adapt the SELF-INSTRUCT method to generate a large synthetic dataset from a small set of human-written high-quality scenarios. We evaluate the impact of the initial seeded scenarios’ quality on the generated scenarios by generating two synthetic datasets: one from 175 high-quality seeds and one from 175 seeds that did not meet all quality criteria. We performed a qualitative analysis using state-of-the-art quality criteria and found that the quality of seeds does not significantly influence the generation of complete and essential scenarios. However, it impacts the scenarios’ capability to focus on a single action and outcome and their compliance with Gherkin syntactic rules. During our evaluation, we also found that while raters agreed on whether a scenario was of high quality or not, they often disagreed on individual criteria, indicating a need for quality criteria easier to apply in practice.","Large Language Models (LLMs);behaviour-driven development (BDD);self-instruct","","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Include","Đọc full-text, đủ IC-L→IC-E — LLM sinh synthetic BDD dataset; liên quan baseline + dataset"
"8","Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study","P. L. Fonseca; B. Lima; J. P. Faria","2025","2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE)","S1+S3","10.1109/ASE63991.2025.00273","Mobile acceptance testing remains a bottleneck in modern software development, particularly for cross-platform mobile development using frameworks like Flutter. While developers increasingly rely on automated testing tools, creating and maintaining acceptance test artifacts still demands significant manual effort. To help tackle this issue, we introduce AToMIC, an automated framework leveraging specialized Large Language Models to generate Gherkin scenarios, Page Objects, and executable UI test scripts directly from requirements (JIRA tickets) and recent code changes. Applied to BMW’s MyBMW app, covering 13 real-world issues in a 170+ screen codebase, AToMIC produced executable test artifacts in under five minutes per feature on standard hardware. The generated artifacts were of high quality: 93.3% of Gherkin scenarios were syntactically correct upon generation, 78.8% of PageObjects ran without manual edits, and 100% of generated UI tests executed successfully. In a survey, all practitioners reported time savings (often a full developer-day per feature) and strong confidence in adopting the approach. These results confirm AToMIC as a scalable, practical solution for streamlining acceptance test creation and maintenance in industrial mobile projects.","Acceptance Testing;Large Language Models;Mobile Applications;Flutter;Test Case Generation;Cross-Platform Development;Gherkin;Test Automation","","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Include","Đọc full-text, đủ IC-L→IC-E — LLM sinh Gherkin + đo syntactic correctness + executable rate; sát metric O2"
"9","User Acceptance Test Case Generation Using LLMs","S. Varpe; U. Mittal; R. K. Bhatia; Ashpreet","2025","2025 IEEE International Conference on Collaborative Advances in Software and COmputiNg (CASCON)","S3","10.1109/CASCON66301.2025.00084","Understanding and validating user requirements is crucial to successful software development. However, manual User Acceptance Testing is often time-consuming, error-prone, and susceptible to bias, making automation an attractive alternative. This paper proposes a zero-shot learning framework for automating User Acceptance Testcase (UAT) generation using Large Language Models (LLMs). Five state-of-the-art LLMs-Gemma, LLaMA3, Mistral, Phi, and Qwen-are evaluated on the PURE dataset of Software Requirements Specification (SRS) documents. The methodology includes SRS text extraction, self-optimizing prompt generation, iterative test case generation, and comprehensive evaluation using both quantitative metrics (e.g., lexical similarity, semantic similarity via BERTScore, diversity, and test case volume) and qualitative analyses (e.g., word clouds and term frequency distributions). Results indicate that while Gemma produces the highest number of test cases, models like Qwen offer better semantic accuracy (with a BERTScore F1 of 80.58%), diversity, and broader requirement coverage. This work demonstrates the potential of LLMs to streamline UAT generation and highlights future directions for scaling and optimizing such frameworks within real-world software engineering workflows.","User Acceptance Testing;Software Requirements;LLMs;Zero-Shot Learning;Prompt Engineering;Test Case Automation;SRS Analysis","","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Include","Đọc full-text, đủ IC-L→IC-E — zero-shot LLM sinh UAT, CÓ đo semantic similarity (BERTScore); rất sát RQ"
"10","Comprehensive Evaluation and Insights Into the Use of Large Language Models in the Automation of Behavior-Driven Development Acceptance Test Formulation","S. Karpurapu; S. Myneni; U. Nettur; L. S. Gajja; D. Burke; T. Stiehm; J. Payne","2024","IEEE Access","S2+S3","10.1109/ACCESS.2024.3391815","Behavior-driven development (BDD) is an Agile testing methodology fostering collaboration among developers, QA analysts, and stakeholders. In this manuscript, we propose a novel approach to enhance BDD practices using large language models (LLMs) to automate acceptance test generation. Our study uses zero and few-shot prompts to evaluate LLMs such as GPT-3.5, GPT-4, Llama-2-13B, and PaLM-2. The paper presents a detailed methodology that includes the dataset, prompt techniques, LLMs, and the evaluation process. The results demonstrate that GPT-3.5 and GPT-4 generate error-free BDD acceptance tests with better performance. The few-shot prompt technique highlights its ability to provide higher accuracy by incorporating examples for in-context learning. Furthermore, the study examines syntax errors, validation accuracy, and comparative analysis of LLMs, revealing their effectiveness in enhancing BDD practices. However, our study acknowledges that there are limitations to the proposed approach. We emphasize that this approach can support collaborative BDD processes and create opportunities for future research into automated BDD acceptance test generation using LLMs.","Agile software development;natural language processing;prompt engineering;software testing;test case automation;automated acceptance testing;zero-shot and few-shot;GPT-35 and GPT-4;PaLM-2;Llama-13B;cucumber;generative AI","22.0","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Include","Đọc full-text, đủ IC-L→IC-E — đánh giá GPT-3.5/4, Llama, PaLM sinh BDD acceptance test (zero/few-shot); core comparison"
