id,title,authors,year,venue,search_string,v1_decision,v1_reason
1,Exploring LLMs Impact on Student-Created User Stories and Acceptance Testing in Software Development,Allan Brockenbrough|Henry Feild|Dominic Salinas,2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
2,"Large Language Model Assisted Software Engineering: Prospects, Challenges, and a Case Study",Lenz Belzner|Thomas Gabor|Martin Wirsing,2023,Lecture notes in computer science,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
3,WhiteFox: White-Box Compiler Fuzzing Empowered by Large Language Models,Chenyuan Yang|Yinlin Deng|Runyu Lu|Jiayi Yao|Jiawei Liu|Reyhaneh Jabbarvand|Lingming Zhang,2024,Proceedings of the ACM on Programming Languages,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
4,"From LLMs to LLM-based Agents for Software Engineering: A Survey of Current, Challenges and Future",Haolin Jin|Li Huang|Haipeng Cai|Jun Yan|Bo Li|Huaming Chen,2024,arXiv (Cornell University),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
5,A DSL for Testing LLMs for Fairness and Bias,Sergio Morales|Robert Clarisó|Jordi Cabot,2024,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
6,Unit Test Generation Using Large Language Models: A Systematic Literature Review,Dovydas Marius Zapkus|Asta Slotkienė,2024,Vilnius University Open Series,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",EXCLUDE,IC5
7,From Requirements to Executable Tests: LLM-Based System Test Generation for REST APIs,Jaroslav Kochanovskis|Asta Slotkienė,2026,Vilnius University Open Series,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
8,Acceptance Test Generation with Large Language Models: An Industrial Case Study,Margarida Ferreira|Luís Sebastião Viegas|João Pascoal Faria|Bruno Lima,2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
9,Applying Large Language Models to Issue Classification: Revisiting with Extended Data and New Models,Gabriel Aracena|Kyle Luster|Fabio Santos|Igor Steinmacher|Marco Aurélio Gerosa,2025,ArXiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
10,ChipMnd: LLMs for Agile Chip Design,Farshad Firouzi|David Z. Pan|Jiaqi Gu|Bahar Farahani|Jayeeta Chaudhuri|Ziang Yin|Pingchuan Ma|Peter Domanski|Krishnendu Chakrabarty,2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
