id,title,author,year,venue,search string
KLBHNAYL,Domain Specific Languages for Executable Specifications,"Alvestad, Kristian",2007,,"(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")"
Z7E3C3JY,Acceptance Test Generation with Large Language Models: An Industrial Case Study,"Ferreira, Margarida; Viegas, Luís; Faria, João Pascoal; Lima, Bruno",2025,2025 IEEE/ACM International Conference on Automation of Software Test (AST),"(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")"
AHNCTFHX,Project Prometheus: Bridging the Intent Gap in Agentic Program Repair via Reverse-Engineered Executable Specifications,"Wang, Yongchao; Huang, Zhiqiu",2026,,"(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")"
6BPKKTMZ,Tool for Generating Behavior-Driven Development Test-Cases,"Raharjana, Indra Kharisma; Harris, Fadel; Justitia, Army",2020,Journal of Information Systems Engineering and Business Intelligence,"(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")"
WHJ6TQKG,A Requirement-based Regression Test Selection Technique in Behavior-Driven Development,"Xu, Jincheng; Du, Qingfeng; Li, Xiaojun",2021,"2021 IEEE 45th Annual Computers, Software, and Applications Conference (COMPSAC)","(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")"
CB82R4RJ,First Experiments on Automated Execution of Gherkin Test Specifications with Collaborating LLM Agents,"Bergsmann, Severin; Schmidt, Alexander; Fischer, Stefan; Ramler, Rudolf",2024,"Proceedings of the 15th ACM International Workshop on Automating Test Case Design, Selection and Evaluation","(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")"
FZ62FNDE,On the Understanding of BDD Scenarios’ Quality: Preliminary Practitioners’ Opinions,"Oliveira, Gabriel; Marczak, Sabrina",2018,,"(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")"
FHMCZCJE,Automated Behaviour-Driven Acceptance Testing of Robotic Systems,"Nguyen, Minh; Wrede, Sebastian; Hochgeschwender, Nico",2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")"
C5N4J9KV,Interactive Behavior-driven Development: a Low-code Perspective,"Patkar, Nitish; Chis, Andrei; Stulova, Nataliia; Nierstrasz, Oscar",2021,2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")"
EU5JQFIY,Behavior-Driven Quality First Agile Testing for Cloud Service,"Getachew Wolde, Behailu; Sinamo Boltana, Abiot",2021,Software Engineering,"(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")"
36ZKQYCE,Improving the prediction of files changed by programming tasks,"Santos, João Pedro; Rocha, Thaís; Borba, Paulo",2019,"Proceedings of the XIII Brazilian Symposium on Software Components, Architectures, and Reuse","(""large language model"" OR ""LLM"" OR ""GPT"" OR ""ChatGPT"") AND (""acceptance test"" OR ""Gherkin"" OR ""BDD"")"
2NBTCB4Y,Comprehensive Evaluation and Insights Into the Use of Large Language Models in the Automation of Behavior-Driven Development Acceptance Test Formulation,"Karpurapu, Shanthi; Myneni, Sravanthy; Nettur, Unnati; Gajja, Likhit Sagar; Burke, Dave; Stiehm, Tom; Payne, Jeffery",2024,IEEE Access,"(""large language model"" OR ""LLM"" OR ""GPT"" OR ""ChatGPT"") AND (""acceptance test"" OR ""Gherkin"" OR ""BDD"")"
94LF4CS6,Automated Test Generation Using LLM Based on BDD: A Comparative Study:,"Ribeiro Dos Santos, Shexmo; Cirqueira Dos Santos, Luiz; Silva, Marcus; Barbosa Dos Santos, Marcos; Mendonça, Mariano; Santos, Marcos; Santos, Marckson; Bastos, Alberto; Marczak, Sabrina; Soares, Michel; Rocha, Fabio",2025,Proceedings of the 21st International Conference on Web Information Systems and Technologies,"(""large language model"" OR ""LLM"" OR ""GPT"" OR ""ChatGPT"") AND (""acceptance test"" OR ""Gherkin"" OR ""BDD"")"
ZVW3H2WD,A Comparative Study of LLMs for Gherkin Generation,"Fernandes, Hiago; Perkusich, Mirko; Albuquerque, Danyllo; Silva, Izabella; Santos, Danilo F. S.; Gorgônio, Kyller; Perkusich, Angelo",2025,Anais do XXXIX Simpósio Brasileiro de Engenharia de Software (SBES 2025),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
XV9ISZR3,AutomTest 3.0: An automated test-case generation tool from User Story processing powered with LLMs,"Santos, Joanderson Gonçalves; Maciel, Rita Suzana Pitangueira",2024,Anais do XXXVIII Simpósio Brasileiro de Engenharia de Software (SBES 2024),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
EHJGDR5A,Modeling contextual goals and detecting context conflicts from BDD-based user stories,"Zheng, Liwei; Wang, Yan; Cui, Zhanqi",2024,International Journal of Computers and Applications,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
2WS8A2F9,Comparative Analysis of Large Language Model Tools for Automated Test Data Generation from BDD,"Mendoza, Isela; Silva Filho, Fernando; Medeiros, Gustavo; Paes, Aline; Neves, Vânia O.",2024,Anais do XXXVIII Simpósio Brasileiro de Engenharia de Software (SBES 2024),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
6XFEPPX7,Reverse-Engineering and Automating BDD for Modern Software Development with LLMs,"Patel, Sagar B.; Nigam, Sajal; Mahale, Shrikanth",2025,2025 IEEE International Conference on Data and Software Engineering (ICoDSE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
RX56ASLS,The Role of Machine Learning and Large Language Models in Software Testing and Validation,"Hachaïchi, Yassine; Ouerghi, Mohamed Amine",2025,2025 IEEE 22nd International Conference on Sciences and Techniques of Automatic Control and Computer Engineering (STA),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
JLYSWCF3,Feature-Trace : an approach to generate operational profile and to support regression testing from BDD features,"Barbosa, Rafael",2020,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
PAR9SHDM,Automating Behavior-Driven Development with Generative AI: Enhancing Efficiency in Test Automation,"Independent Researcher & IEEE member Durham, North Carolina, USA; Tiwari, Sujeet Kumar",2025,Frontiers in Emerging Computer Science and Information Technology,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
DEU39IQU,Benefits of Behavior Driven Development in Scenario-based Verification of Automated Driving,"Lauer, Christoph; Sippl, Christoph",2022,2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
MNLJSLDI,Towards a Gherkin-Based Requirement Verification Approach in MBSE,"Hoffmann, David; Ammana, Someshwar Reddy; Dsouza, Ashley Jason; Gudder, Ranjitkumar; Lüder, Arndt",2025,2025 IEEE International Symposium on Systems Engineering (ISSE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
YCIAA98D,Technique to Baseline QE Artefact Generation Aligned to Quality Metrics,"Farchi, Eitan; Nayak, Kiran; Majumdar, Papia Ghosh; Route, Saritha",2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
KQ2B7WMP,Semi-Automated Behavior-Driven Testing for the Web Front-Ends,"Ma, Shang-Pin; Chen, Yu-An; Guo, Yi-Jie; Su, Yu-Sheng",2023,2023 IEEE International Conference on e-Business Engineering (ICEBE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
D8YV7AT2,The Effectiveness of Conceptual Models Auto-Generated from a Set of User Stories Written as BDD Scenarios: A Proposed Study,"Gupta, Abhimanyu; Poels, G.",2022,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
8PI3VJTY,A Two-Phase NLP-Driven Deep Learning Framework for Automated Software Requirements Classification and User Story Generation in Agile Development,"Hany, Khaled. M.; Salama, Gouda I.; Salem, Ahmed",2025,2025 International Conference on Machine Intelligence and Smart Innovation (ICMISI),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
LYRYBEYI,A Multi-agent LLM System for Automated Requirements Analysis: A Study on User Story Generation and Prioritization,"Sami, Malik Abdul; Zhang, Zheying; Waseem, Muhammad; Kemell, Kai-Kristian; Rasheed, Zeeshan; Herda, Tomas; Hasan, Md. Toufique; Rasku, Jussi; Abrahamsson, Pekka",2026,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
MG2NPTF9,Automated User Story Generation with Test Case Specification Using Large Language Model,"Rahman, Tajmilur; Zhu, Yuecai",2024,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
5WJNSATJ,Take Loads Off Your Developers: Automated User Story Generation using Large Language Model,"Rahman, Tajmilur; Zhu, Yuecai; Maha, Lamyea; Roy, Chanchal; Roy, Banani; Schneider, Kevin",2024,2024 IEEE International Conference on Software Maintenance and Evolution (ICSME),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
QFZQGMWD,Agile User Story Builder: Transform Real-Time User Requirement Conversations into Well-Structured Agile User Stories,"Sathsarani, Sanduni; Sandun, Yasitha; Rusith, Ravindu; Himaranga, Shakila; Kumari, Suriyaa; Supunya Swarnakantha, N.H.P Ravi",2025,2025 7th International Conference on Advancements in Computing (ICAC),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
4AMYW93Q,From Real-Time Conversation to User Story: Leveraging Agile Requirements through LLM,"Pereira, Ramon Martinez; Malucelli, Andreia; Reinehr, Sheila",2025,Anais do XXXIX Simpósio Brasileiro de Engenharia de Software (SBES 2025),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
4HAB92PC,SimAC: simulating agile collaboration to generate acceptance criteria in user story elaboration,"Li, Yishu; Keung, Jacky; Yang, Zhen; Ma, Xiaoxue; Zhang, Jingyu; Liu, Shuo",2024,Automated Software Engineering,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
AZ9ANAC9,Exploring LLMs for User Story Extraction from Mockups,"Firmenich, Diego; Antonelli, Leandro; Pazos, Bruno; Lozada, Fabricio; Morales, Leonardo",2025,Anais do Workshop em Engenharia de Requisitos,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
G5LAE7I6,Automatic generation of business process models from user stories,"Nasiri, Samia; Adadi, Amina; Lahmer, Mohammed",2023,International Journal of Electrical and Computer Engineering (IJECE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
RA4KJY6N,Extracting Knowledge Graphs from User Stories using LangChain,"da Silva, Thayná Camargo",2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
2FZR8Q3C,GUI Test Automation Studies: Selenium IDE,"Uipath Studio, Katalon Studio,Bahaweres, Rizal Broer; Hasanah, Nurul Uswatun",2025,2025 13th International Conference on Cyber and IT Service Management (CITSM),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
