id,title,author,year,venue,search string,v1_decision,v1_reason,v2_decision,v2_reason
Z7E3C3JY,Acceptance Test Generation with Large Language Models: An Industrial Case Study,"Ferreira, Margarida; Viegas, Luís; Faria, João Pascoal; Lima, Bruno",2025,2025 IEEE/ACM International Conference on Automation of Software Test (AST),"(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")",INCLUDE,,INCLUDE,
6BPKKTMZ,Tool for Generating Behavior-Driven Development Test-Cases,"Raharjana, Indra Kharisma; Harris, Fadel; Justitia, Army",2020,Journal of Information Systems Engineering and Business Intelligence,"(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")",INCLUDE,,INCLUDE,
WHJ6TQKG,A Requirement-based Regression Test Selection Technique in Behavior-Driven Development,"Xu, Jincheng; Du, Qingfeng; Li, Xiaojun",2021,"2021 IEEE 45th Annual Computers, Software, and Applications Conference (COMPSAC)","(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")",INCLUDE,,EXCLUDE,EC2: không tìm được PDF
CB82R4RJ,First Experiments on Automated Execution of Gherkin Test Specifications with Collaborating LLM Agents,"Bergsmann, Severin; Schmidt, Alexander; Fischer, Stefan; Ramler, Rudolf",2024,"Proceedings of the 15th ACM International Workshop on Automating Test Case Design, Selection and Evaluation","(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")",INCLUDE,,EXCLUDE,EC2: không tìm được PDF
FZ62FNDE,On the Understanding of BDD Scenarios’ Quality: Preliminary Practitioners’ Opinions,"Oliveira, Gabriel; Marczak, Sabrina",2018,,"(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")",INCLUDE,,EXCLUDE,EC2: không tìm được PDF
FHMCZCJE,Automated Behaviour-Driven Acceptance Testing of Robotic Systems,"Nguyen, Minh; Wrede, Sebastian; Hochgeschwender, Nico",2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")",INCLUDE,,EXCLUDE,EC2: không tìm được PDF
C5N4J9KV,Interactive Behavior-driven Development: a Low-code Perspective,"Patkar, Nitish; Chis, Andrei; Stulova, Nataliia; Nierstrasz, Oscar",2021,2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")",INCLUDE,,EXCLUDE,EC2: không tìm được PDF
EU5JQFIY,Behavior-Driven Quality First Agile Testing for Cloud Service,"Getachew Wolde, Behailu; Sinamo Boltana, Abiot",2021,Software Engineering,"(""Gherkin"" OR ""BDD"" OR ""acceptance test"") AND (""semantic similarity"" OR ""evaluation"" OR ""executable"")",INCLUDE,,INCLUDE,
2NBTCB4Y,Comprehensive Evaluation and Insights Into the Use of Large Language Models in the Automation of Behavior-Driven Development Acceptance Test Formulation,"Karpurapu, Shanthi; Myneni, Sravanthy; Nettur, Unnati; Gajja, Likhit Sagar; Burke, Dave; Stiehm, Tom; Payne, Jeffery",2024,IEEE Access,"(""large language model"" OR ""LLM"" OR ""GPT"" OR ""ChatGPT"") AND (""acceptance test"" OR ""Gherkin"" OR ""BDD"")",INCLUDE,,INCLUDE,
94LF4CS6,Automated Test Generation Using LLM Based on BDD: A Comparative Study:,"Ribeiro Dos Santos, Shexmo; Cirqueira Dos Santos, Luiz; Silva, Marcus; Barbosa Dos Santos, Marcos; Mendonça, Mariano; Santos, Marcos; Santos, Marckson; Bastos, Alberto; Marczak, Sabrina; Soares, Michel; Rocha, Fabio",2025,Proceedings of the 21st International Conference on Web Information Systems and Technologies,"(""large language model"" OR ""LLM"" OR ""GPT"" OR ""ChatGPT"") AND (""acceptance test"" OR ""Gherkin"" OR ""BDD"")",INCLUDE,,EXCLUDE,EC2: không tìm được PDF
