id,domain,project_name,user_story
1,E-commerce,Sylius,"As a store owner,
I want the checkout process to prevent customers from completing an order with a shipping method that has become unavailable,
So that customers cannot place orders using shipping methods that are no longer valid or offered.

Acceptance Criteria:
- When a customer has selected a shipping method and payment method during checkout, but that shipping method is subsequently disabled entirely, the system should block order confirmation and inform the customer that the chosen shipping method is not available.
- When a customer has selected a shipping method and payment method during checkout, but that shipping method is subsequently disabled specifically for the channel/country associated with their order, the system should block order confirmation and inform the customer that the chosen shipping method is not available.
- In both cases, the customer should not be able to successfully confirm and place the order while the selected shipping method remains disabled."
2,E-commerce,Sylius,"As an administrator,
I want to be prevented from viewing the details of a customer's cart that is not yet an order,
So that I only access valid order information and receive clear feedback when attempting to view non-existent orders.

Acceptance Criteria:
- The store operates on a single channel in ""United States"" with a product ""PHP T-Shirt"" priced at ""$12.00""
- Given a customer has added the product ""PHP T-Shirt"" to their cart without placing an order
- When an administrator attempts to view the summary of the customer's latest cart
- The administrator should be informed that the order does not exist"
3,E-commerce,Sylius,"As a store administrator,
I want to delete zones from the registry,
So that I can keep the list of zones accurate and free of unused entries.

Acceptance Criteria:
- Successfully deleting a zone that has no dependencies removes it from the registry and displays a confirmation message.
- Attempting to delete a zone that has associated tax rates is blocked, with a notification explaining that the zone cannot be deleted, and the zone remains visible in the list.
- Attempting to delete a zone that is a member of another zone is blocked, with a notification explaining that the zone cannot be deleted, and the zone remains visible in the list."
4,E-commerce,Sylius,"As a store manager,
I want exclusive catalog promotions to override all other applicable promotions on a product,
So that customers see the correct discounted price based solely on the most relevant exclusive promotion, avoiding stacking of multiple discounts.

Acceptance Criteria:
- When a product has both a regular catalog promotion and an exclusive catalog promotion applicable, only the exclusive promotion should be applied to calculate the displayed price.
- The product's original price should still be displayed alongside the discounted price for customer reference.
- When multiple exclusive catalog promotions apply to the same product, only the single exclusive promotion with the highest priority should be applied, ignoring all others."
5,E-commerce,Sylius,"As a Store Administrator,
I want the system to prevent me from deleting a product variant that has already been purchased by a customer,
So that historical order data remains accurate and consistent, and customers' past orders are not affected by data integrity issues.

Acceptance Criteria:
- Given a product variant is associated with at least one placed order, when an administrator attempts to delete that variant, the system should block the deletion.
- The administrator should receive a clear notification stating that the variant is currently in use and cannot be deleted.
- After the failed deletion attempt, the product variant should remain unchanged and still exist in the product catalog.
- This behavior should be consistently enforced across both the API and UI interfaces."
6,E-commerce,Sylius,"As an administrator,
I want to create a new product option with its option values,
So that I can define configurable attributes (such as size or color) that customers can select when purchasing a product.

Acceptance Criteria:
- When creating a new product option, I must be able to name it and specify its code, and upon successful creation I should receive a confirmation notification and see it appear in the product option registry.
- I should be able to add multiple option values (e.g., ""S"", ""M"") to a product option, and each added option value should be correctly associated with that option after creation.
- I should be able to create a product option without adding any option values, and the system should still allow it to be successfully created and registered.
- When the store supports multiple locales, I should be able to apply an option value entered in one locale (e.g., ""English (United States)"") to all other available locales (e.g., ""Polish (Poland)"") in a single action, while still being able to add other option values that remain locale-specific and are not automatically translated."
7,E-commerce,Sylius,"As a store administrator,
I want the system to prevent me from creating a new product association type with a code that is already in use,
So that I can avoid duplicate product association types and maintain data integrity in the catalog configuration.

Acceptance Criteria:
- When creating a new product association type, the administrator can specify a code and a name for a given locale.
- If the specified code already exists among the current product association types, the system should reject the creation attempt and display a notification informing the administrator that a product association type with this code already exists.
- After the failed attempt, the total number of product association types with the given code should remain unchanged (only one product association type should exist with that code)."
8,E-commerce,Sylius,"As a store administrator,
I want to filter orders by currency and by total amount (greater than, less than, or within a specified range),
So that I can quickly locate and review orders placed in a specific currency or within a particular price range.

Acceptance Criteria:
- When filtering by currency alone, only orders placed in the selected currency are displayed, and orders in other currencies are excluded.
- When filtering by a total greater than a specified amount (with a currency selected), only orders in that currency whose total exceeds the specified amount are displayed, and orders in other currencies are excluded.
- When filtering by a total less than a specified amount (with a currency selected), only orders in that currency whose total is below the specified amount are displayed, and orders in other currencies are excluded.
- When filtering by a total within a specified range (greater than a minimum and less than a maximum, with a currency selected), only orders in that currency falling within the range are displayed, and orders in other currencies are excluded.
- When filtering by a total range without specifying a currency, orders from any currency that fall within the specified total range are displayed."
9,E-commerce,Sylius,"As a Store Manager,
I want catalog promotions to be automatically applied and reflected in the discounted price of eligible product variants,
So that customers can see accurate promotional pricing without manual price adjustments.

Acceptance Criteria:
- Given a configurable product with a variant priced at a specific original price, and an active catalog promotion that reduces the price by a defined percentage on that variant, when viewing the variant, the discounted price should be correctly calculated and displayed.
- The system should show both the original price and the discounted price for the variant when a catalog promotion is successfully applied.
- The name of the applied catalog promotion should be visible alongside the discounted price for transparency."
10,E-commerce,Sylius,"As an administrator,
I want to modify a customer's billing address on an already placed order,
So that I can correct or update customer billing information even after the order has been submitted.

Acceptance Criteria:
- The administrator should be able to view an order's summary and edit its billing address, specifying a new recipient name, street, postcode, city, and country.
- Upon saving the changes, the administrator should receive a confirmation notification that the billing address has been successfully edited, and the order should display the updated billing address details.
- When selecting a country for the billing address, only the provinces belonging to that selected country should be available for selection.
- The billing address should remain editable and correctly saved regardless of external conditions such as changes in product price, a disabled sales channel, a disabled currency, or the product being out of stock, with the order's total remaining unaffected by the address change."
