id,user_story,generated_gherkin
1,"As a store owner,
I want the checkout process to prevent customers from completing an order with a shipping method that has become unavailable,
So that customers cannot place orders using shipping methods that are no longer valid or offered.

Acceptance Criteria:
- When a customer has selected a shipping method and payment method during checkout, but that shipping method is subsequently disabled entirely, the system should block order confirmation and inform the customer that the chosen shipping method is not available.
- When a customer has selected a shipping method and payment method during checkout, but that shipping method is subsequently disabled specifically for the channel/country associated with their order, the system should block order confirmation and inform the customer that the chosen shipping method is not available.
- In both cases, the customer should not be able to successfully confirm and place the order while the selected shipping method remains disabled.","@checkout
Feature: Preventing checkout completion with an unavailable shipping method

    Background:
        Given the store operates on a single channel in ""United States""
        And the store has a product ""PHP T-Shirt"" priced at ""$12.00""
        And the store has ""DHL"" shipping method with ""$10.00"" fee
        And the store has ""Stripe"" payment method
        And the customer added product ""PHP T-Shirt"" to the cart
        And the customer selected ""DHL"" shipping method
        And the customer selected ""Stripe"" payment method

    @ui
    Scenario: Being unable to complete checkout when the selected shipping method is disabled entirely
        And the ""DHL"" shipping method is disabled
        When the customer tries to confirm the order
        Then I should be informed that the chosen shipping method is not available
        And the customer should not be able to place the order

    @ui
    Scenario: Being unable to complete checkout when the selected shipping method is disabled for the channel
        And the ""DHL"" shipping method is disabled for ""United States"" channel
        When the customer tries to confirm the order
        Then I should be informed that the chosen shipping method is not available
        And the customer should not be able to place the order"
2,"As an administrator,
I want to be prevented from viewing the details of a customer's cart that is not yet an order,
So that I only access valid order information and receive clear feedback when attempting to view non-existent orders.

Acceptance Criteria:
- The store operates on a single channel in ""United States"" with a product ""PHP T-Shirt"" priced at ""$12.00""
- Given a customer has added the product ""PHP T-Shirt"" to their cart without placing an order
- When an administrator attempts to view the summary of the customer's latest cart
- The administrator should be informed that the order does not exist","@managing_orders
Feature: Being unable to see details of a cart

    Background:
        Given the store operates on a single channel in ""United States""
        And the store has a product ""PHP T-Shirt"" priced at ""$12.00""
        And the customer added product ""PHP T-Shirt"" to the cart
        And I am logged in as an administrator

    @api @ui
    Scenario: Being unable to see the details of a cart
        When I try to view the summary of the customer's latest cart
        Then I should be informed that the order does not exist"
3,"As a store administrator,
I want to delete zones from the registry,
So that I can keep the list of zones accurate and free of unused entries.

Acceptance Criteria:
- Successfully deleting a zone that has no dependencies removes it from the registry and displays a confirmation message.
- Attempting to delete a zone that has associated tax rates is blocked, with a notification explaining that the zone cannot be deleted, and the zone remains visible in the list.
- Attempting to delete a zone that is a member of another zone is blocked, with a notification explaining that the zone cannot be deleted, and the zone remains visible in the list.","@managing_zones
Feature: Deleting zones from the registry

    Background:
        Given the store operates on a single channel in ""United States""
        And there is a zone ""Europe""
        And there is a zone ""North America""
        And there is a zone ""Asia""
        And I am logged in as an administrator

    @ui
    Scenario: Successfully deleting a zone with no dependencies
        When I delete the zone ""Asia""
        Then I should be notified that the zone has been deleted
        And I should not see the zone ""Asia"" in the registry

    @ui
    Scenario: Being unable to delete a zone that has associated tax rates
        And the zone ""Europe"" has associated tax rates
        When I try to delete the zone ""Europe""
        Then I should be informed that the zone cannot be deleted
        And I should still see the zone ""Europe"" in the registry

    @ui
    Scenario: Being unable to delete a zone that is a member of another zone
        And the zone ""North America"" is a member of the zone ""Europe""
        When I try to delete the zone ""North America""
        Then I should be informed that the zone cannot be deleted
        And I should still see the zone ""North America"" in the registry"
4,"As a store manager,
I want exclusive catalog promotions to override all other applicable promotions on a product,
So that customers see the correct discounted price based solely on the most relevant exclusive promotion, avoiding stacking of multiple discounts.

Acceptance Criteria:
- When a product has both a regular catalog promotion and an exclusive catalog promotion applicable, only the exclusive promotion should be applied to calculate the displayed price.
- The product's original price should still be displayed alongside the discounted price for customer reference.
- When multiple exclusive catalog promotions apply to the same product, only the single exclusive promotion with the highest priority should be applied, ignoring all others.","@catalog_promotions
Feature: Applying exclusive catalog promotions to products

    Background:
        Given the store operates on a single channel in ""United States""
        And the store has a product ""PHP T-Shirt"" priced at ""$12.00""

    @ui
    Scenario: Applying only the exclusive catalog promotion when a regular promotion is also applicable
        Given the store has a catalog promotion ""10% off"" applicable to the product ""PHP T-Shirt""
        And the store has an exclusive catalog promotion ""20% off"" applicable to the product ""PHP T-Shirt""
        When I view the product ""PHP T-Shirt""
        Then I should see the original price ""$12.00""
        And I should see the discounted price ""$9.60""

    @ui
    Scenario: Applying only the highest priority exclusive catalog promotion when multiple exclusive promotions are applicable
        Given the store has an exclusive catalog promotion ""10% off"" with priority 0 applicable to the product ""PHP T-Shirt""
        And the store has an exclusive catalog promotion ""20% off"" with priority 1 applicable to the product ""PHP T-Shirt""
        When I view the product ""PHP T-Shirt""
        Then I should see the original price ""$12.00""
        And I should see the discounted price ""$9.60"""
5,"As a Store Administrator,
I want the system to prevent me from deleting a product variant that has already been purchased by a customer,
So that historical order data remains accurate and consistent, and customers' past orders are not affected by data integrity issues.

Acceptance Criteria:
- Given a product variant is associated with at least one placed order, when an administrator attempts to delete that variant, the system should block the deletion.
- The administrator should receive a clear notification stating that the variant is currently in use and cannot be deleted.
- After the failed deletion attempt, the product variant should remain unchanged and still exist in the product catalog.
- This behavior should be consistently enforced across both the API and UI interfaces.","@managing_product_variants
Feature: Being unable to delete a purchased product variant

    Background:
        Given the store operates on a single channel in ""United States""
        And the store has a product ""PHP T-Shirt"" with a variant ""PHP T-Shirt - Medium"" priced at ""$12.00""
        And the customer bought a product variant ""PHP T-Shirt - Medium""
        And I am logged in as an administrator

    @api @ui
    Scenario: Being unable to delete a purchased product variant
        When I try to delete the product variant ""PHP T-Shirt - Medium""
        Then I should be informed that the variant is currently in use and cannot be deleted
        And the product variant ""PHP T-Shirt - Medium"" should still exist in the product catalog"
6,"As an administrator,
I want to create a new product option with its option values,
So that I can define configurable attributes (such as size or color) that customers can select when purchasing a product.

Acceptance Criteria:
- When creating a new product option, I must be able to name it and specify its code, and upon successful creation I should receive a confirmation notification and see it appear in the product option registry.
- I should be able to add multiple option values (e.g., ""S"", ""M"") to a product option, and each added option value should be correctly associated with that option after creation.
- I should be able to create a product option without adding any option values, and the system should still allow it to be successfully created and registered.
- When the store supports multiple locales, I should be able to apply an option value entered in one locale (e.g., ""English (United States)"") to all other available locales (e.g., ""Polish (Poland)"") in a single action, while still being able to add other option values that remain locale-specific and are not automatically translated.","@managing_product_options
Feature: Creating product options with option values

    Background:
        Given the store operates on a single channel in ""United States""
        And I am logged in as an administrator

    @ui
    Scenario: Creating a new product option with multiple option values
        When I want to create a new product option
        And I name it ""Size""
        And I specify its code as ""size""
        And I add option value ""S""
        And I add option value ""M""
        And I create it
        Then I should be notified that it has been successfully created
        And I should see the product option ""Size"" in the registry
        And the product option ""Size"" should have option values ""S"" and ""M""

    @ui
    Scenario: Creating a new product option without option values
        When I want to create a new product option
        And I name it ""Material""
        And I specify its code as ""material""
        And I create it
        Then I should be notified that it has been successfully created
        And I should see the product option ""Material"" in the registry
        And the product option ""Material"" should have no option values

    @ui
    Scenario: Applying an option value to all locales while keeping other values locale-specific
        Given the store operates on multiple locales ""English (United States)"" and ""Polish (Poland)""
        When I want to create a new product option
        And I name it ""Color""
        And I specify its code as ""color""
        And I add option value ""Red"" in locale ""English (United States)""
        And I apply option value ""Red"" to all locales
        And I add option value ""Blue"" in locale ""English (United States)""
        And I create it
        Then I should be notified that it has been successfully created
        And I should see the product option ""Color"" in the registry
        And the product option ""Color"" should have option value ""Red"" in locale ""English (United States)""
        And the product option ""Color"" should have option value ""Red"" in locale ""Polish (Poland)""
        And the product option ""Color"" should have option value ""Blue"" only in locale ""English (United States)"""
7,"As a store administrator,
I want the system to prevent me from creating a new product association type with a code that is already in use,
So that I can avoid duplicate product association types and maintain data integrity in the catalog configuration.

Acceptance Criteria:
- When creating a new product association type, the administrator can specify a code and a name for a given locale.
- If the specified code already exists among the current product association types, the system should reject the creation attempt and display a notification informing the administrator that a product association type with this code already exists.
- After the failed attempt, the total number of product association types with the given code should remain unchanged (only one product association type should exist with that code).","@managing_product_association_types
Feature: Being unable to create a product association type with an existing code

    Background:
        Given the store operates on a single channel in ""United States""
        And I am logged in as an administrator
        And the store has a product association type ""Similar products"" with code ""similar_products""

    @ui
    Scenario: Being unable to create a product association type with an existing code
        When I want to create a new product association type
        And I specify its code as ""similar_products""
        And I specify its name as ""Related products"" for locale ""en_US""
        And I try to create it
        Then I should be notified that a product association type with this code already exists
        And there should still be only one product association type with code ""similar_products"""
8,"As a store administrator,
I want to filter orders by currency and by total amount (greater than, less than, or within a specified range),
So that I can quickly locate and review orders placed in a specific currency or within a particular price range.

Acceptance Criteria:
- When filtering by currency alone, only orders placed in the selected currency are displayed, and orders in other currencies are excluded.
- When filtering by a total greater than a specified amount (with a currency selected), only orders in that currency whose total exceeds the specified amount are displayed, and orders in other currencies are excluded.
- When filtering by a total less than a specified amount (with a currency selected), only orders in that currency whose total is below the specified amount are displayed, and orders in other currencies are excluded.
- When filtering by a total within a specified range (greater than a minimum and less than a maximum, with a currency selected), only orders in that currency falling within the range are displayed, and orders in other currencies are excluded.
- When filtering by a total range without specifying a currency, orders from any currency that fall within the specified total range are displayed.","@managing_orders
Feature: Filtering orders by currency and total amount

    Background:
        Given the store operates on a single channel in ""United States""
        And the store has a product ""PHP T-Shirt"" priced at ""$12.00""
        And the store has a product ""Symfony Mug"" priced at ""$20.00""
        And the store has a product ""API Platform Hoodie"" priced at ""$35.00""
        And the store has a product ""Doctrine Cap"" priced at ""€10.00""
        And the store has a product ""Twig Socks"" priced at ""€18.00""
        And the store has a product ""Behat Backpack"" priced at ""£25.00""
        And the store has a product ""Sylius Sticker Pack"" priced at ""£40.00""
        And there is an order with total ""$12.00"" in currency ""USD""
        And there is an order with total ""$20.00"" in currency ""USD""
        And there is an order with total ""$35.00"" in currency ""USD""
        And there is an order with total ""€10.00"" in currency ""EUR""
        And there is an order with total ""€18.00"" in currency ""EUR""
        And there is an order with total ""£25.00"" in currency ""GBP""
        And there is an order with total ""£40.00"" in currency ""GBP""
        And I am logged in as an administrator

    @ui
    Scenario: Filtering orders by currency alone
        When I filter orders by currency ""USD""
        Then I should see 3 orders
        And I should see the order with total ""$12.00""
        And I should see the order with total ""$20.00""
        And I should see the order with total ""$35.00""
        And I should not see the order with total ""€10.00""
        And I should not see the order with total ""€18.00""
        And I should not see the order with total ""£25.00""
        And I should not see the order with total ""£40.00""

    @ui
    Scenario: Filtering orders by total greater than a specified amount in a selected currency
        When I filter orders by currency ""USD"" and total greater than ""$15.00""
        Then I should see 2 orders
        And I should see the order with total ""$20.00""
        And I should see the order with total ""$35.00""
        And I should not see the order with total ""$12.00""
        And I should not see the order with total ""€10.00""
        And I should not see the order with total ""€18.00""
        And I should not see the order with total ""£25.00""
        And I should not see the order with total ""£40.00""

    @ui
    Scenario: Filtering orders by total less than a specified amount in a selected currency
        When I filter orders by currency ""EUR"" and total less than ""€15.00""
        Then I should see 1 order
        And I should see the order with total ""€10.00""
        And I should not see the order with total ""€18.00""
        And I should not see the order with total ""$12.00""
        And I should not see the order with total ""$20.00""
        And I should not see the order with total ""$35.00""
        And I should not see the order with total ""£25.00""
        And I should not see the order with total ""£40.00""

    @ui
    Scenario: Filtering orders by total within a specified range in a selected currency
        When I filter orders by currency ""GBP"" and total between ""£20.00"" and ""£30.00""
        Then I should see 1 order
        And I should see the order with total ""£25.00""
        And I should not see the order with total ""£40.00""
        And I should not see the order with total ""$12.00""
        And I should not see the order with total ""$20.00""
        And I should not see the order with total ""$35.00""
        And I should not see the order with total ""€10.00""
        And I should not see the order with total ""€18.00""

    @ui
    Scenario: Filtering orders by total within a specified range without selecting a currency
        When I filter orders by total between ""$15.00"" and ""$30.00""
        Then I should see 3 orders
        And I should see the order with total ""$20.00""
        And I should see the order with total ""€18.00""
        And I should see the order with total ""£25.00""
        And I should not see the order with total ""$12.00""
        And I should not see the order with total ""$35.00""
        And I should not see the order with total ""€10.00""
        And I should not see the order with total ""£40.00"""
9,"As a Store Manager,
I want catalog promotions to be automatically applied and reflected in the discounted price of eligible product variants,
So that customers can see accurate promotional pricing without manual price adjustments.

Acceptance Criteria:
- Given a configurable product with a variant priced at a specific original price, and an active catalog promotion that reduces the price by a defined percentage on that variant, when viewing the variant, the discounted price should be correctly calculated and displayed.
- The system should show both the original price and the discounted price for the variant when a catalog promotion is successfully applied.
- The name of the applied catalog promotion should be visible alongside the discounted price for transparency.","@catalog_promotions
Feature: Seeing catalog promotions applied to product variants

    Background:
        Given the store operates on a single channel in ""United States""
        And the store has a configurable product ""PHP T-Shirt""
        And the product ""PHP T-Shirt"" has a variant ""PHP T-Shirt - Medium"" priced at ""$20.00""
        And the store has a catalog promotion ""Summer Sale"" that reduces the price by 25% for the variant ""PHP T-Shirt - Medium""

    @ui
    Scenario: Seeing the discounted price of an eligible product variant
        When I view the variant ""PHP T-Shirt - Medium""
        Then I should see that its original price is ""$20.00""
        And I should see that its discounted price is ""$15.00""
        And I should see the catalog promotion ""Summer Sale"" applied to the variant"
10,"As an administrator,
I want to modify a customer's billing address on an already placed order,
So that I can correct or update customer billing information even after the order has been submitted.

Acceptance Criteria:
- The administrator should be able to view an order's summary and edit its billing address, specifying a new recipient name, street, postcode, city, and country.
- Upon saving the changes, the administrator should receive a confirmation notification that the billing address has been successfully edited, and the order should display the updated billing address details.
- When selecting a country for the billing address, only the provinces belonging to that selected country should be available for selection.
- The billing address should remain editable and correctly saved regardless of external conditions such as changes in product price, a disabled sales channel, a disabled currency, or the product being out of stock, with the order's total remaining unaffected by the address change.","@managing_orders
Feature: Editing a customer's billing address on an order

    Background:
        Given the store operates on a single channel in ""United States""
        And the store has a product ""PHP T-Shirt"" priced at ""$12.00""
        And the customer placed an order for product ""PHP T-Shirt""
        And I am logged in as an administrator

    @ui
    Scenario: Editing the billing address of an order
        When I view the summary of the customer's latest order
        And I edit the billing address with recipient name ""John Doe"", street ""123 Main Street"", postcode ""12345"", city ""New York"", and country ""United States""
        And I save the changes
        Then I should be notified that the billing address has been successfully edited
        And the order should have billing address with recipient name ""John Doe"", street ""123 Main Street"", postcode ""12345"", city ""New York"", and country ""United States""

    @ui
    Scenario: Showing only provinces belonging to the selected country when editing the billing address
        When I view the summary of the customer's latest order
        And I start editing the billing address
        And I select country ""United States""
        Then I should only be able to choose provinces belonging to ""United States""

    @ui
    Scenario: Keeping the billing address editable when the order is affected by external conditions
        Given the product ""PHP T-Shirt"" price has changed
        And the sales channel is disabled
        And the currency is disabled
        And the product ""PHP T-Shirt"" is out of stock
        When I view the summary of the customer's latest order
        And I edit the billing address with recipient name ""Jane Doe"", street ""456 Market Street"", postcode ""54321"", city ""Los Angeles"", and country ""United States""
        And I save the changes
        Then I should be notified that the billing address has been successfully edited
        And the order should have billing address with recipient name ""Jane Doe"", street ""456 Market Street"", postcode ""54321"", city ""Los Angeles"", and country ""United States""
        And the order total should remain unchanged"
