id,user_story,gherkin_generated
1,"As a store owner,
I want the checkout process to prevent customers from completing an order with a shipping method that has become unavailable,
So that customers cannot place orders using shipping methods that are no longer valid or offered.

Acceptance Criteria:
- When a customer has selected a shipping method and payment method during checkout, but that shipping method is subsequently disabled entirely, the system should block order confirmation and inform the customer that the chosen shipping method is not available.
- When a customer has selected a shipping method and payment method during checkout, but that shipping method is subsequently disabled specifically for the channel/country associated with their order, the system should block order confirmation and inform the customer that the chosen shipping method is not available.
- In both cases, the customer should not be able to successfully confirm and place the order while the selected shipping method remains disabled.","@checkout
Feature: Preventing placing an order with a disabled shipping method

    Background:
        Given the store operates on a single channel in the ""United States"" named ""US Web Store""
        And the store has a product ""Ubi T-Shirt"" priced at ""$19.99""
        And the store has ""Raven Post"" shipping method with ""$4.00"" fee
        And the store allows paying ""Offline""

    @api @ui
    Scenario: Being prevented from placing an order with a shipping method that's disabled after completing the shipping method choice step
        Given I added product ""Ubi T-Shirt"" to the cart
        And I addressed the cart
        And I chose ""Raven Post"" shipping method and ""Offline"" payment method
        But this shipping method has been disabled
        When I try to confirm my order
        Then I should not be able to confirm order because the ""Raven Post"" shipping method is not available

    @api @ui
    Scenario: Being prevented from placing an order with a shipping method that's has been disabled for the customer's country after completing the shipping method choice step
        Given I added product ""Ubi T-Shirt"" to the cart
        And I addressed the cart
        And I chose ""Raven Post"" shipping method and ""Offline"" payment method
        But this shipping method has been disabled for ""US Web Store"" channel
        When I try to confirm my order
        Then I should not be able to confirm order because the ""Raven Post"" shipping method is not available"
2,"As an administrator,
I want to be prevented from viewing the details of a customer's cart that is not yet an order,
So that I only access valid order information and receive clear feedback when attempting to view non-existent orders.

Acceptance Criteria:
- The store operates on a single channel in ""United States"" with a product ""PHP T-Shirt"" priced at ""$12.00""
- Given a customer has added the product ""PHP T-Shirt"" to their cart without placing an order
- When an administrator attempts to view the summary of the customer's latest cart
- The administrator should be informed that the order does not exist","@checkout
Feature: Preventing viewing a cart's details as an order

    Background:
        Given the store operates on a single channel in the ""United States"" named ""US Web Store""
        And the store has a product ""PHP T-Shirt"" priced at ""$12.00""

    @api @ui
    Scenario: Trying to view a cart that has not been placed as an order
        Given the customer added product ""PHP T-Shirt"" to the cart
        When I try to view the summary of the customer's latest cart
        Then I should be informed that this order does not exist"
3,"As a store administrator,
I want to delete zones from the registry,
So that I can keep the list of zones accurate and free of unused entries.

Acceptance Criteria:
- Successfully deleting a zone that has no dependencies removes it from the registry and displays a confirmation message.
- Attempting to delete a zone that has associated tax rates is blocked, with a notification explaining that the zone cannot be deleted, and the zone remains visible in the list.
- Attempting to delete a zone that is a member of another zone is blocked, with a notification explaining that the zone cannot be deleted, and the zone remains visible in the list.","@zones
Feature: Deleting a zone

    Background:
        Given the store has zone ""European Union""
        And the store has zone ""Asia""
        And the store has zone ""Poland""

    @api @ui
    Scenario: Deleting a zone that has no dependencies
        Given I want to browse zones
        When I delete zone ""Asia""
        Then I should be notified that it has been successfully deleted
        And zone ""Asia"" should no longer exist in the registry

    @api @ui
    Scenario: Trying to delete a zone that has associated tax rates
        Given the store has ""EU Standard Tax Rate"" tax rate for ""European Union"" zone
        And I want to browse zones
        When I try to delete zone ""European Union""
        Then I should be notified that it cannot be deleted
        And zone ""European Union"" should still exist in the registry

    @api @ui
    Scenario: Trying to delete a zone that is a member of another zone
        Given the store has zone ""World"" which has ""European Union"" zone as a member
        And I want to browse zones
        When I try to delete zone ""European Union""
        Then I should be notified that it cannot be deleted
        And zone ""European Union"" should still exist in the registry"
4,"As a store manager,
I want exclusive catalog promotions to override all other applicable promotions on a product,
So that customers see the correct discounted price based solely on the most relevant exclusive promotion, avoiding stacking of multiple discounts.

Acceptance Criteria:
- When a product has both a regular catalog promotion and an exclusive catalog promotion applicable, only the exclusive promotion should be applied to calculate the displayed price.
- The product's original price should still be displayed alongside the discounted price for customer reference.
- When multiple exclusive catalog promotions apply to the same product, only the single exclusive promotion with the highest priority should be applied, ignoring all others.","@catalog_promotions
Feature: Applying exclusive catalog promotions with priority over other promotions

    Background:
        Given the store operates on a single channel in the ""United States"" named ""US Web Store""
        And the store has a product ""Ubi T-Shirt"" priced at ""$50.00""

    @api @ui
    Scenario: Exclusive catalog promotion overrides a regular catalog promotion on the same product
        Given the store has ""Summer Sale"" catalog promotion with ""10%"" discount on ""Ubi T-Shirt""
        And the store has ""Exclusive Black Friday"" exclusive catalog promotion with ""30%"" discount on ""Ubi T-Shirt""
        When I check the price of product ""Ubi T-Shirt""
        Then it should have original price ""$50.00""
        And it should have applied only the ""Exclusive Black Friday"" catalog promotion
        And it should have discounted price ""$35.00""

    @api @ui
    Scenario: Only the highest priority exclusive catalog promotion is applied when multiple exclusive promotions apply
        Given the store has ""Exclusive Spring Sale"" exclusive catalog promotion with ""20%"" discount and priority ""2"" on ""Ubi T-Shirt""
        And the store has ""Exclusive Black Friday"" exclusive catalog promotion with ""30%"" discount and priority ""1"" on ""Ubi T-Shirt""
        When I check the price of product ""Ubi T-Shirt""
        Then it should have original price ""$50.00""
        And it should have applied only the ""Exclusive Black Friday"" catalog promotion
        And it should have discounted price ""$35.00""

    @api @ui
    Scenario: Original price is still displayed alongside the discounted price when an exclusive catalog promotion is applied
        Given the store has ""Exclusive Black Friday"" exclusive catalog promotion with ""30%"" discount on ""Ubi T-Shirt""
        When I check the price of product ""Ubi T-Shirt""
        Then it should have original price ""$50.00""
        And it should have discounted price ""$35.00"""
5,"As a Store Administrator,
I want the system to prevent me from deleting a product variant that has already been purchased by a customer,
So that historical order data remains accurate and consistent, and customers' past orders are not affected by data integrity issues.

Acceptance Criteria:
- Given a product variant is associated with at least one placed order, when an administrator attempts to delete that variant, the system should block the deletion.
- The administrator should receive a clear notification stating that the variant is currently in use and cannot be deleted.
- After the failed deletion attempt, the product variant should remain unchanged and still exist in the product catalog.
- This behavior should be consistently enforced across both the API and UI interfaces.","@catalog
Feature: Preventing deletion of a product variant that has been ordered

    In order to keep historical order data accurate and consistent
    As a Store Administrator
    I want to be prevented from deleting a product variant that has already been purchased by a customer

    Background:
        Given the store operates on a single channel in the ""United States"" named ""US Web Store""
        And the store has a product ""Ubi T-Shirt"" priced at ""$19.99""
        And the product ""Ubi T-Shirt"" has variant ""Ubi T-Shirt Medium"" priced at ""$19.99""
        And the store allows paying ""Offline""
        And the store has ""Raven Post"" shipping method with ""$4.00"" fee

    @api @ui
    Scenario: Trying to delete a product variant that has already been ordered by a customer
        Given the customer ""john.doe@example.com"" placed an order ""#00000001"" for ""Ubi T-Shirt Medium""
        When I try to delete the ""Ubi T-Shirt Medium"" variant
        Then I should be notified that it is in use and cannot be deleted
        And the variant ""Ubi T-Shirt Medium"" should still exist in the product catalog"
6,"As an administrator,
I want to create a new product option with its option values,
So that I can define configurable attributes (such as size or color) that customers can select when purchasing a product.

Acceptance Criteria:
- When creating a new product option, I must be able to name it and specify its code, and upon successful creation I should receive a confirmation notification and see it appear in the product option registry.
- I should be able to add multiple option values (e.g., ""S"", ""M"") to a product option, and each added option value should be correctly associated with that option after creation.
- I should be able to create a product option without adding any option values, and the system should still allow it to be successfully created and registered.
- When the store supports multiple locales, I should be able to apply an option value entered in one locale (e.g., ""English (United States)"") to all other available locales (e.g., ""Polish (Poland)"") in a single action, while still being able to add other option values that remain locale-specific and are not automatically translated.","@configuration
Feature: Creating a new product option

    Background:
        Given I am logged in as an administrator

    @api @ui
    Scenario: Creating a new product option without any option values
        Given I want to create a new product option
        When I specify its code as ""T_SHIRT_SIZE""
        And I name it ""T-Shirt size"" in ""English (United States)""
        And I add it
        Then I should be notified that it has been successfully created
        And the product option ""T-Shirt size"" should appear in the registry

    @api @ui
    Scenario: Creating a new product option with multiple option values
        Given I want to create a new product option
        And I specify its code as ""T_SHIRT_SIZE""
        And I name it ""T-Shirt size"" in ""English (United States)""
        When I add the ""Small"" option value with code ""T_SHIRT_SIZE_S""
        And I add the ""Medium"" option value with code ""T_SHIRT_SIZE_M""
        And I add it
        Then I should be notified that it has been successfully created
        And the product option ""T-Shirt size"" should appear in the registry
        And this product option should have the ""Small"" option value
        And this product option should have the ""Medium"" option value

    @api @ui
    Scenario: Trying to create a product option without specifying any option values
        Given I want to create a new product option
        And I specify its code as ""T_SHIRT_SIZE""
        And I name it ""T-Shirt size"" in ""English (United States)""
        When I do not add any option values
        And I add it
        Then I should be notified that it has been successfully created
        And the product option ""T-Shirt size"" should appear in the registry

    @api @ui
    Scenario: Applying an option value's name to all other locales
        Given the store allows shopping in ""Polish (Poland)"" locale
        And I want to create a new product option
        And I specify its code as ""T_SHIRT_SIZE""
        And I name it ""T-Shirt size"" in ""English (United States)""
        When I add the ""Small"" option value with code ""T_SHIRT_SIZE_S"" in ""English (United States)""
        And I apply this option value's name to all other locales
        And I add the ""Medium"" option value with code ""T_SHIRT_SIZE_M"" in ""English (United States)"" only
        And I add it
        Then I should be notified that it has been successfully created
        And this product option should have the ""Small"" option value translated as ""Small"" in ""Polish (Poland)"" locale
        And this product option should have the ""Medium"" option value with no translation in ""Polish (Poland)"" locale"
7,"As a store administrator,
I want the system to prevent me from creating a new product association type with a code that is already in use,
So that I can avoid duplicate product association types and maintain data integrity in the catalog configuration.

Acceptance Criteria:
- When creating a new product association type, the administrator can specify a code and a name for a given locale.
- If the specified code already exists among the current product association types, the system should reject the creation attempt and display a notification informing the administrator that a product association type with this code already exists.
- After the failed attempt, the total number of product association types with the given code should remain unchanged (only one product association type should exist with that code).","@product_association_types
Feature: Preventing duplicate product association type codes

    Background:
        Given the store has a product association type ""Cross Sell"" with code ""CROSS_SELL""
        And I am logged in as an administrator

    @api @ui
    Scenario: Being prevented from creating a product association type with an already existing code
        Given I want to create a new product association type
        When I specify its code as ""CROSS_SELL""
        And I specify its name as ""Up Sell"" for ""English (United States)"" locale
        And I try to add it
        Then I should be notified that a product association type with this code already exists
        And there should still be only one product association type with code ""CROSS_SELL"""
8,"As a store administrator,
I want to filter orders by currency and by total amount (greater than, less than, or within a specified range),
So that I can quickly locate and review orders placed in a specific currency or within a particular price range.

Acceptance Criteria:
- When filtering by currency alone, only orders placed in the selected currency are displayed, and orders in other currencies are excluded.
- When filtering by a total greater than a specified amount (with a currency selected), only orders in that currency whose total exceeds the specified amount are displayed, and orders in other currencies are excluded.
- When filtering by a total less than a specified amount (with a currency selected), only orders in that currency whose total is below the specified amount are displayed, and orders in other currencies are excluded.
- When filtering by a total within a specified range (greater than a minimum and less than a maximum, with a currency selected), only orders in that currency falling within the range are displayed, and orders in other currencies are excluded.
- When filtering by a total range without specifying a currency, orders from any currency that fall within the specified total range are displayed.","@orders
Feature: Filtering orders by currency and total amount

    In order to quickly locate and review orders placed in a specific currency or within a particular price range
    As a store administrator
    I want to filter orders by currency and by total amount

    Background:
        Given the store operates on a single channel in the ""United States"" named ""US Web Store""
        And the store allows paying ""Offline""
        And there is a customer ""john.doe@example.com"" that placed an order ""#00000001"" with total ""$50.00""
        And there is a customer ""jane.doe@example.com"" that placed an order ""#00000002"" with total ""$150.00""
        And there is a customer ""mark.doe@example.com"" that placed an order ""#00000003"" with total ""$250.00""
        And there is a customer ""anna.doe@example.com"" that placed an order ""#00000004"" with total ""€80.00""
        And there is a customer ""adam.doe@example.com"" that placed an order ""#00000005"" with total ""€180.00""
        And I am logged in as an administrator

    @api @ui
    Scenario: Filtering orders by currency only
        When I browse orders
        And I filter orders by ""USD"" currency
        Then I should see 3 orders on the list
        And I should see the order ""#00000001"" on the list
        And I should see the order ""#00000002"" on the list
        And I should see the order ""#00000003"" on the list
        But I should not see the order ""#00000004"" on the list
        And I should not see the order ""#00000005"" on the list

    @api @ui
    Scenario: Filtering orders by total greater than a specified amount with currency selected
        When I browse orders
        And I filter orders by ""USD"" currency with total greater than ""$100.00""
        Then I should see 2 orders on the list
        And I should see the order ""#00000002"" on the list
        And I should see the order ""#00000003"" on the list
        But I should not see the order ""#00000001"" on the list
        And I should not see the order ""#00000004"" on the list
        And I should not see the order ""#00000005"" on the list

    @api @ui
    Scenario: Filtering orders by total less than a specified amount with currency selected
        When I browse orders
        And I filter orders by ""USD"" currency with total less than ""$200.00""
        Then I should see 2 orders on the list
        And I should see the order ""#00000001"" on the list
        And I should see the order ""#00000002"" on the list
        But I should not see the order ""#00000003"" on the list
        And I should not see the order ""#00000004"" on the list
        And I should not see the order ""#00000005"" on the list

    @api @ui
    Scenario: Filtering orders by total within a specified range with currency selected
        When I browse orders
        And I filter orders by ""USD"" currency with total greater than ""$100.00"" and less than ""$200.00""
        Then I should see 1 order on the list
        And I should see the order ""#00000002"" on the list
        But I should not see the order ""#00000001"" on the list
        And I should not see the order ""#00000003"" on the list
        And I should not see the order ""#00000004"" on the list
        And I should not see the order ""#00000005"" on the list

    @api @ui
    Scenario: Filtering orders by total range without specifying a currency
        When I browse orders
        And I filter orders by total greater than ""$70.00"" and less than ""$200.00"" regardless of currency
        Then I should see 3 orders on the list
        And I should see the order ""#00000001"" on the list
        And I should see the order ""#00000002"" on the list
        And I should see the order ""#00000004"" on the list
        But I should not see the order ""#00000003"" on the list
        And I should not see the order ""#00000005"" on the list"
9,"As a Store Manager,
I want catalog promotions to be automatically applied and reflected in the discounted price of eligible product variants,
So that customers can see accurate promotional pricing without manual price adjustments.

Acceptance Criteria:
- Given a configurable product with a variant priced at a specific original price, and an active catalog promotion that reduces the price by a defined percentage on that variant, when viewing the variant, the discounted price should be correctly calculated and displayed.
- The system should show both the original price and the discounted price for the variant when a catalog promotion is successfully applied.
- The name of the applied catalog promotion should be visible alongside the discounted price for transparency.","@catalog_promotions
Feature: Applying catalog promotions on product variants

    Background:
        Given the store operates on a single channel in the ""United States"" named ""US Web Store""
        And the store has a product ""Ubi T-Shirt"" priced at ""$19.99""

    @api @ui
    Scenario: Seeing the discounted price of a variant with an active catalog promotion applied
        Given the store has a catalog promotion ""Summer Sale"" reducing price by ""10%"" on ""Ubi T-Shirt"" variant
        And this catalog promotion is active
        When I view product ""Ubi T-Shirt""
        Then I should see the original price ""$19.99"" for this variant
        And I should see the discounted price ""$17.99"" for this variant
        And I should see ""Summer Sale"" as the applied catalog promotion for this variant

    @api @ui
    Scenario: Not seeing a discounted price for a variant when there is no active catalog promotion
        Given the store has a catalog promotion ""Summer Sale"" reducing price by ""10%"" on ""Ubi T-Shirt"" variant
        But this catalog promotion is not active
        When I view product ""Ubi T-Shirt""
        Then I should see the original price ""$19.99"" for this variant
        And I should not see any discounted price for this variant

    @api @ui
    Scenario: Seeing the correct discounted price after the catalog promotion percentage has changed
        Given the store has a catalog promotion ""Summer Sale"" reducing price by ""10%"" on ""Ubi T-Shirt"" variant
        And this catalog promotion is active
        But this catalog promotion has been changed to reduce price by ""20%""
        When I view product ""Ubi T-Shirt""
        Then I should see the original price ""$19.99"" for this variant
        And I should see the discounted price ""$15.99"" for this variant
        And I should see ""Summer Sale"" as the applied catalog promotion for this variant"
10,"As an administrator,
I want to modify a customer's billing address on an already placed order,
So that I can correct or update customer billing information even after the order has been submitted.

Acceptance Criteria:
- The administrator should be able to view an order's summary and edit its billing address, specifying a new recipient name, street, postcode, city, and country.
- Upon saving the changes, the administrator should receive a confirmation notification that the billing address has been successfully edited, and the order should display the updated billing address details.
- When selecting a country for the billing address, only the provinces belonging to that selected country should be available for selection.
- The billing address should remain editable and correctly saved regardless of external conditions such as changes in product price, a disabled sales channel, a disabled currency, or the product being out of stock, with the order's total remaining unaffected by the address change.","@checkout
Feature: Editing a billing address of an already placed order

    Background:
        Given the store operates on a single channel in the ""United States"" named ""US Web Store""
        And the store has a product ""PHP T-Shirt"" priced at ""$19.99""
        And the store allows paying ""Offline""
        And there is a customer ""john.doe@example.com"" that placed an order ""#00000001""
        And the customer bought a single ""PHP T-Shirt""
        And the customer addressed it to ""John Doe"", ""First Street"", ""44100"" ""New York"" in the ""United States""

    @api @ui
    Scenario: Editing the billing address of an already placed order
        Given I am logged in as an administrator
        When I view the summary of the order ""#00000001""
        And I choose ""France"" as the billing address's country
        And I specify the billing address's recipient name as ""Jane Doe""
        And I specify the billing address's street as ""Rue de Paris""
        And I specify the billing address's postcode as ""75000""
        And I specify the billing address's city as ""Paris""
        And I save my changes
        Then I should be notified that it has been successfully edited
        And the order's billing address should be ""Jane Doe"", ""Rue de Paris"", ""75000"" ""Paris"" in the ""France""

    @api @ui
    Scenario: Being able to choose only provinces that belong to the selected billing address's country
        Given the ""United States"" has the ""New York"" and ""California"" provinces defined
        And the ""France"" has the ""Île-de-France"" and ""Provence"" provinces defined
        And I am logged in as an administrator
        When I view the summary of the order ""#00000001""
        And I choose ""France"" as the billing address's country
        Then I should be able to choose only ""Île-de-France"" and ""Provence"" as the billing address's province

    @api @ui
    Scenario: Editing the billing address of an order despite the product's price has changed since it was placed
        Given I am logged in as an administrator
        And the price of ""PHP T-Shirt"" has changed to ""$29.99""
        When I view the summary of the order ""#00000001""
        And I specify the billing address's recipient name as ""Jane Doe""
        And I specify the billing address's street as ""Rue de Paris""
        And I specify the billing address's postcode as ""75000""
        And I specify the billing address's city as ""Paris""
        And I save my changes
        Then I should be notified that it has been successfully edited
        And the order's billing address should be ""Jane Doe"", ""Rue de Paris"", ""75000"" ""Paris"" in the ""United States""
        And the order's total should still be ""$19.99""

    @api @ui
    Scenario: Editing the billing address of an order despite the channel has been disabled
        Given I am logged in as an administrator
        But the ""US Web Store"" channel has been disabled
        When I view the summary of the order ""#00000001""
        And I specify the billing address's recipient name as ""Jane Doe""
        And I specify the billing address's street as ""Rue de Paris""
        And I specify the billing address's postcode as ""75000""
        And I specify the billing address's city as ""Paris""
        And I save my changes
        Then I should be notified that it has been successfully edited
        And the order's billing address should be ""Jane Doe"", ""Rue de Paris"", ""75000"" ""Paris"" in the ""United States""

    @api @ui
    Scenario: Editing the billing address of an order despite the currency has been disabled
        Given the store allows paying in ""USD""
        And I am logged in as an administrator
        But the ""USD"" currency has been disabled
        When I view the summary of the order ""#00000001""
        And I specify the billing address's recipient name as ""Jane Doe""
        And I specify the billing address's street as ""Rue de Paris""
        And I specify the billing address's postcode as ""75000""
        And I specify the billing address's city as ""Paris""
        And I save my changes
        Then I should be notified that it has been successfully edited
        And the order's billing address should be ""Jane Doe"", ""Rue de Paris"", ""75000"" ""Paris"" in the ""United States""

    @api @ui
    Scenario: Editing the billing address of an order despite the product being out of stock
        Given I am logged in as an administrator
        But ""PHP T-Shirt"" is out of stock
        When I view the summary of the order ""#00000001""
        And I specify the billing address's recipient name as ""Jane Doe""
        And I specify the billing address's street as ""Rue de Paris""
        And I specify the billing address's postcode as ""75000""
        And I specify the billing address's city as ""Paris""
        And I save my changes
        Then I should be notified that it has been successfully edited
        And the order's billing address should be ""Jane Doe"", ""Rue de Paris"", ""75000"" ""Paris"" in the ""United States"""
