id,raw_cosine,skeleton_cosine,executable
1,0.9027,1.0000,PASS
2,0.7452,0.8443,PASS
3,0.8164,0.9208,PASS
4,0.7188,0.8744,PASS
5,0.6779,0.9128,PASS
6,0.7618,0.9543,PASS
7,0.8236,0.9056,PASS
8,0.7039,0.8739,PASS
9,0.6952,0.7845,PASS
10,0.7075,0.9188,PASS
11,0.7050,0.8006,PASS
12,0.6459,0.7740,PASS
13,0.5836,0.6701,PASS
14,0.7155,0.8104,PASS
15,0.7142,0.8824,PASS
16,0.8045,0.9311,PASS
17,0.8353,0.9551,PASS
18,0.8235,0.9205,PASS
19,0.6835,0.7865,PASS
20,0.8285,0.9858,PASS
21,0.6956,0.9042,PASS
22,0.8103,0.8004,PASS
23,0.8827,0.9708,PASS
24,0.7615,0.9120,PASS
25,0.7709,0.9054,PASS
26,0.7387,0.8778,PASS
27,0.6853,0.8632,PASS
28,0.6908,0.8287,PASS
29,0.6989,0.9146,PASS
30,0.8445,0.9301,PASS
31,0.8498,0.9604,PASS
32,0.8338,0.9698,PASS
33,0.7103,0.8085,PASS
34,0.6250,0.9060,PASS
35,0.9088,1.0000,FAIL
36,0.6829,0.7917,PASS
37,0.8176,0.9132,PASS
38,0.0000,0.0000,FAIL
39,0.3414,0.8898,PASS
40,0.8339,0.8636,PASS
41,0.0000,0.0000,FAIL
42,0.8085,0.8627,PASS
43,0.7446,0.7405,PASS
44,0.8584,0.8864,PASS
45,0.0000,0.0000,FAIL
46,0.7833,0.8843,PASS
47,0.3042,0.9257,PASS
48,0.8800,0.8542,PASS
49,0.8163,0.9058,PASS
50,0.8097,0.8546,PASS
51,0.8389,0.8498,FAIL
52,0.7456,0.8513,PASS
53,0.7945,0.9320,PASS
54,0.7420,0.8631,PASS
55,0.7491,0.7820,PASS
56,0.7974,0.8856,PASS
57,0.7372,0.8304,PASS
58,0.8622,0.8898,PASS
59,0.7979,0.8930,PASS
60,0.8201,0.9179,PASS
61,0.7857,0.8800,PASS
62,0.8282,0.9569,PASS
63,0.7817,0.8809,FAIL
64,0.0000,0.0000,FAIL
65,0.7873,0.8842,PASS
66,0.0000,0.0000,FAIL
67,0.8555,0.7649,PASS
68,0.8682,1.0000,PASS
69,0.6070,0.8545,PASS
70,0.6819,0.7969,PASS
71,0.7271,0.7950,PASS
72,0.7825,0.7857,PASS
73,0.6977,0.7876,PASS
74,0.7730,0.9142,PASS
75,0.7656,0.7683,PASS
76,0.7867,0.7416,PASS
77,0.8254,0.9217,PASS
78,0.6304,0.7582,PASS
79,0.7310,0.8791,PASS
80,0.6176,0.7164,PASS
81,0.7279,0.7731,PASS
82,0.7897,0.8547,PASS
83,0.7649,0.8595,PASS
84,0.7707,0.8223,PASS
85,0.7696,0.8576,PASS
86,0.8163,0.9309,PASS
87,0.7936,0.7128,PASS
88,0.7397,0.8040,PASS
89,0.6866,0.6269,PASS
90,0.7183,0.8677,PASS
91,0.7111,0.8245,PASS
92,0.7325,0.7180,PASS
93,0.7725,0.8745,PASS
94,0.7798,0.8424,PASS
95,0.7262,0.6690,PASS
96,0.8113,0.7963,PASS
97,0.5572,0.7238,PASS
98,0.7507,0.8409,PASS
99,0.7476,0.8154,PASS
100,0.8006,0.8738,PASS
